instance_count,machine_type,slots,memory,data_size_MB,line_length,lines,gross_runtime
4,c4.2xlarge,48,331972.0,9630,100,140000000,753.0
4,m4.2xlarge,80,471825.0,15408,100,10000000,664.0
4,c4.2xlarge,48,466819.0,13482,100,160000000,784.0
12,c4.2xlarge,32,472130.0,13482,100,180000000,216.0
4,r4.2xlarge,16,394510.0,15408,100,160000000,467.0
12,r4.2xlarge,48,471405.0,15408,100,160000000,757.0
4,c4.2xlarge,48,391191.0,17334,100,140000000,266.0
12,c4.2xlarge,32,36648.0,15408,100,140000000,619.0
8,r4.2xlarge,48,457754.0,9530,100,160000000,255.0
12,m4.2xlarge,48,402508.0,15408,100,180000000,592.0
8,c4.2xlarge,16,298749.0,15408,100,10000000,550.0
10,r4.2xlarge,16,608326.0,15408,1000,160000000,430.0
2,c4.2xlarge,32,384153.0,9630,100,160000000,439.0
4,c4.2xlarge,48,56592.0,13482,100,160000000,460.0
4,r4.2xlarge,48,411775.0,9530,100,160000000,762.0
4,r4.2xlarge,48,413411.0,9630,1000,160000000,619.0
4,m4.2xlarge,48,515870.0,15408,100,140000000,613.0
4,m4.2xlarge,48,482726.0,15408,100,140000000,842.0
4,r4.2xlarge,16,308100.0,9630,1000,100000000,147.0
4,c4.2xlarge,80,505275.0,13482,100,100000000,153.0
8,r4.2xlarge,48,289434.0,13482,100,140000000,210.0
8,r4.2xlarge,48,370655.0,9530,100,160000000,859.0
4,m4.2xlarge,48,39675.0,9630,1000,140000000,156.0
8,c4.2xlarge,80,58488.0,15408,100,180000000,458.0
4,r4.2xlarge,32,481017.0,19260,100,160000000,164.0
8,r4.2xlarge,48,623016.0,15408,100,160000000,152.0
12,m4.2xlarge,32,401702.0,9630,100,160000000,170.0
4,m4.2xlarge,32,519637.0,15408,100,10000000,609.0
8,c4.2xlarge,16,471547.0,13482,1000,160000000,153.0
4,r4.2xlarge,32,467015.0,9630,100,180000000,650.0
10,r4.2xlarge,80,649875.0,15408,100,10000000,205.0
4,c4.2xlarge,32,486169.0,9630,100,160000000,628.0
4,r4.2xlarge,32,307885.0,13482,100,160000000,199.0
8,c4.2xlarge,48,479046.0,9630,100,120000000,235.0
2,r4.2xlarge,32,454091.0,15408,100,160000000,173.0
12,m4.2xlarge,48,402509.0,13482,100,160000000,153.0
2,m4.2xlarge,80,47074.0,9630,100,140000000,466.0
8,m4.2xlarge,16,297818.0,9630,100,180000000,582.0
4,r4.2xlarge,32,480862.0,15408,100,140000000,149.0
10,c4.2xlarge,48,284231.0,15408,100,160000000,164.0
12,r4.2xlarge,48,652375.0,9530,1000,160000000,108.0
4,r4.2xlarge,80,455311.0,15408,100,160000000,190.0
8,r4.2xlarge,48,388738.0,9630,100,100000000,182.0
8,m4.2xlarge,48,479090.0,15408,100,180000000,599.0
8,c4.2xlarge,80,462872.0,15408,1000,140000000,138.0
4,m4.2xlarge,32,620239.0,9630,100,140000000,612.0
12,m4.2xlarge,32,279231.0,15408,1000,160000000,207.0
4,c4.2xlarge,16,280837.0,15408,100,140000000,164.0
12,m4.2xlarge,16,475688.0,9630,100,160000000,829.0
8,m4.2xlarge,32,277288.0,9630,100,100000000,434.0
4,c4.2xlarge,16,506443.0,15408,100,140000000,157.0
12,m4.2xlarge,48,377842.0,15408,1000,160000000,131.0
4,c4.2xlarge,48,294450.0,15408,100,180000000,217.0
12,m4.2xlarge,48,53889.0,15408,100,140000000,460.0
8,c4.2xlarge,48,452137.0,15408,100,160000000,153.0
12,r4.2xlarge,16,473488.0,15408,100,100000000,462.0
8,r4.2xlarge,32,296982.0,15408,100,100000000,153.0
10,m4.2xlarge,48,611816.0,15408,100,140000000,134.0
8,r4.2xlarge,32,464931.0,11556,100,100000000,260.0
12,r4.2xlarge,16,42992.0,9630,100,100000000,216.0
8,c4.2xlarge,32,485616.0,9630,100,160000000,189.0
4,r4.2xlarge,80,452477.0,19260,100,180000000,443.0
8,r4.2xlarge,32,276459.0,9530,100,160000000,214.0
2,r4.2xlarge,32,379632.0,15408,1000,140000000,830.0
4,m4.2xlarge,80,387493.0,17334,100,180000000,571.0
8,c4.2xlarge,48,34349.0,9630,100,160000000,223.0
4,m4.2xlarge,32,283091.0,15408,1000,160000000,159.0
8,c4.2xlarge,16,303806.0,9630,100,160000000,598.0
4,c4.2xlarge,48,413888.0,9630,100,100000000,854.0
4,r4.2xlarge,48,452000.0,15408,100,100000000,558.0
4,m4.2xlarge,80,501239.0,17334,1000,100000000,757.0
8,r4.2xlarge,16,279263.0,11556,100,160000000,625.0
8,m4.2xlarge,16,460323.0,15408,100,160000000,866.0
8,r4.2xlarge,48,458951.0,9630,100,160000000,197.0
8,r4.2xlarge,16,614307.0,15408,100,180000000,664.0
8,m4.2xlarge,16,603895.0,15408,1000,160000000,451.0
4,r4.2xlarge,32,36329.0,9630,1000,160000000,113.0
12,c4.2xlarge,48,47678.0,15408,100,100000000,95.0
4,m4.2xlarge,48,452582.0,15408,1000,100000000,256.0
4,c4.2xlarge,16,279242.0,9530,100,180000000,589.0
12,r4.2xlarge,48,310387.0,15408,100,140000000,777.0
12,c4.2xlarge,48,493297.0,15408,1000,140000000,144.0
8,m4.2xlarge,48,604185.0,13482,100,180000000,829.0
4,m4.2xlarge,48,336479.0,15408,100,180000000,773.0
12,m4.2xlarge,16,515725.0,15408,100,160000000,765.0
8,m4.2xlarge,80,518539.0,15408,100,140000000,598.0
12,r4.2xlarge,48,457147.0,15408,100,160000000,448.0
4,c4.2xlarge,48,474810.0,15408,100,10000000,634.0
12,r4.2xlarge,80,485126.0,15408,100,100000000,165.0
4,c4.2xlarge,32,277738.0,9630,100,140000000,177.0
8,c4.2xlarge,80,474935.0,9630,100,160000000,170.0
4,r4.2xlarge,16,305374.0,15408,100,140000000,848.0
12,r4.2xlarge,16,287715.0,15408,1000,100000000,173.0
12,m4.2xlarge,48,389799.0,15408,100,140000000,621.0
8,r4.2xlarge,32,472147.0,9630,100,140000000,443.0
4,c4.2xlarge,32,466725.0,9630,100,100000000,144.0
4,r4.2xlarge,32,597736.0,15408,100,140000000,115.0
8,r4.2xlarge,32,467754.0,9630,100,140000000,843.0
8,c4.2xlarge,48,254988.0,15408,100,160000000,642.0
10,m4.2xlarge,48,295676.0,11556,1000,100000000,447.0
12,r4.2xlarge,48,47852.0,15408,100,140000000,184.0
12,c4.2xlarge,48,286632.0,9630,100,140000000,92.0
12,c4.2xlarge,80,463736.0,9630,100,160000000,667.0
2,m4.2xlarge,32,515702.0,15408,1000,180000000,225.0
4,m4.2xlarge,32,600408.0,11556,100,100000000,156.0
10,r4.2xlarge,80,400677.0,9630,100,160000000,164.0
4,r4.2xlarge,48,451637.0,15408,100,160000000,629.0
8,m4.2xlarge,16,477229.0,11556,100,100000000,578.0
4,m4.2xlarge,48,322591.0,9630,100,160000000,589.0
4,m4.2xlarge,32,452804.0,15408,100,160000000,861.0
2,m4.2xlarge,80,285559.0,9630,100,160000000,755.0
10,r4.2xlarge,16,389429.0,15408,1000,140000000,605.0
4,r4.2xlarge,48,309155.0,15408,100,160000000,829.0
4,m4.2xlarge,48,393363.0,17334,100,140000000,164.0
12,c4.2xlarge,32,391105.0,9630,100,120000000,87.0
8,r4.2xlarge,80,393608.0,9630,100,140000000,828.0
2,c4.2xlarge,80,308936.0,17334,100,160000000,182.0
4,r4.2xlarge,80,262845.0,15408,100,160000000,855.0
8,r4.2xlarge,16,297500.0,13482,100,160000000,166.0
8,r4.2xlarge,48,300818.0,15408,100,160000000,185.0
4,m4.2xlarge,32,464819.0,13482,1000,160000000,829.0
12,c4.2xlarge,80,465746.0,13482,100,180000000,630.0
8,m4.2xlarge,48,474044.0,9630,100,100000000,126.0
8,r4.2xlarge,48,30054.0,15408,100,120000000,465.0
8,r4.2xlarge,16,457950.0,9630,100,160000000,181.0
10,r4.2xlarge,48,41737.0,15408,1000,140000000,138.0
4,r4.2xlarge,48,38404.0,11556,100,100000000,452.0
4,r4.2xlarge,80,368273.0,15408,100,180000000,144.0
4,r4.2xlarge,48,288991.0,15408,100,100000000,446.0
4,m4.2xlarge,80,481927.0,9630,100,180000000,550.0
12,m4.2xlarge,80,611542.0,15408,100,180000000,858.0
10,m4.2xlarge,48,465746.0,15408,100,180000000,834.0
8,m4.2xlarge,48,465320.0,15408,100,160000000,445.0
4,r4.2xlarge,48,616234.0,9630,1000,140000000,443.0
4,m4.2xlarge,80,465880.0,15408,1000,160000000,593.0
4,c4.2xlarge,16,474443.0,13482,100,100000000,840.0
4,m4.2xlarge,16,452842.0,11556,100,160000000,833.0
4,m4.2xlarge,16,501932.0,15408,100,160000000,136.0
8,r4.2xlarge,48,390099.0,9630,100,160000000,852.0
4,r4.2xlarge,32,456735.0,9630,100,10000000,628.0
4,r4.2xlarge,48,469718.0,15408,100,140000000,130.0
2,r4.2xlarge,48,292803.0,9630,100,160000000,650.0
4,m4.2xlarge,32,49705.0,15408,100,100000000,623.0
8,m4.2xlarge,48,302218.0,19260,100,160000000,846.0
8,r4.2xlarge,48,482224.0,13482,1000,180000000,432.0
8,c4.2xlarge,80,468560.0,15408,100,160000000,431.0
12,r4.2xlarge,48,286653.0,9630,100,140000000,781.0
12,c4.2xlarge,48,397388.0,15408,100,160000000,461.0
4,r4.2xlarge,16,479598.0,17334,100,100000000,463.0
8,r4.2xlarge,80,60713.0,15408,1000,140000000,162.0
4,c4.2xlarge,48,409516.0,9630,100,160000000,217.0
2,r4.2xlarge,48,387599.0,9630,100,160000000,155.0
10,m4.2xlarge,16,416080.0,17334,100,10000000,145.0
4,c4.2xlarge,32,403221.0,9630,100,160000000,443.0
4,c4.2xlarge,32,383930.0,15408,100,140000000,785.0
8,r4.2xlarge,32,476667.0,13482,100,180000000,647.0
12,m4.2xlarge,48,64637.0,13482,1000,160000000,153.0
8,r4.2xlarge,48,44104.0,15408,100,100000000,465.0
12,r4.2xlarge,32,404816.0,17334,100,140000000,454.0
4,r4.2xlarge,16,602698.0,15408,100,160000000,639.0
12,c4.2xlarge,80,283195.0,17334,100,120000000,193.0
4,r4.2xlarge,80,300878.0,9630,100,160000000,127.0
12,c4.2xlarge,16,591683.0,15408,1000,160000000,753.0
8,m4.2xlarge,16,304578.0,15408,100,10000000,610.0
4,r4.2xlarge,48,399545.0,15408,100,100000000,157.0
12,c4.2xlarge,80,454632.0,15408,100,140000000,158.0
10,m4.2xlarge,80,279874.0,11556,1000,180000000,228.0
4,c4.2xlarge,48,298489.0,15408,100,140000000,455.0
4,c4.2xlarge,32,411665.0,9630,100,100000000,201.0
8,c4.2xlarge,32,461027.0,9630,100,100000000,464.0
2,m4.2xlarge,80,625946.0,13482,100,180000000,772.0
4,c4.2xlarge,48,33516.0,15408,1000,160000000,586.0
4,m4.2xlarge,16,305673.0,9630,100,160000000,210.0
4,r4.2xlarge,32,605524.0,17334,100,160000000,782.0
8,m4.2xlarge,32,454055.0,13482,100,160000000,615.0
4,c4.2xlarge,16,460842.0,9630,1000,140000000,431.0
8,c4.2xlarge,48,467100.0,15408,100,160000000,439.0
12,m4.2xlarge,80,57811.0,17334,1000,160000000,123.0
4,c4.2xlarge,48,60234.0,11556,100,160000000,436.0
8,r4.2xlarge,16,596283.0,15408,100,100000000,201.0
4,c4.2xlarge,16,504582.0,15408,1000,180000000,438.0
10,r4.2xlarge,32,474042.0,15408,100,160000000,186.0
4,m4.2xlarge,32,287882.0,9630,100,160000000,646.0
8,m4.2xlarge,48,411602.0,15408,100,160000000,464.0
4,m4.2xlarge,80,601372.0,15408,100,160000000,752.0
4,r4.2xlarge,32,592252.0,9530,100,160000000,174.0
8,m4.2xlarge,48,31427.0,15408,1000,160000000,827.0
4,r4.2xlarge,80,475103.0,9530,100,160000000,466.0
12,m4.2xlarge,48,49598.0,15408,100,160000000,112.0
10,m4.2xlarge,48,659922.0,15408,100,120000000,207.0
10,r4.2xlarge,16,413939.0,15408,100,160000000,858.0
12,m4.2xlarge,32,623536.0,17334,100,160000000,588.0
4,c4.2xlarge,80,382474.0,9630,1000,160000000,232.0
8,m4.2xlarge,16,301995.0,15408,100,100000000,859.0
8,r4.2xlarge,80,335417.0,13482,100,160000000,211.0
12,r4.2xlarge,48,474203.0,15408,100,160000000,629.0
4,r4.2xlarge,32,300704.0,15408,100,160000000,182.0
4,c4.2xlarge,48,517985.0,15408,1000,160000000,593.0
4,r4.2xlarge,48,473669.0,15408,1000,140000000,454.0
2,m4.2xlarge,48,604673.0,15408,100,140000000,262.0
12,m4.2xlarge,48,645581.0,15408,100,160000000,178.0
8,r4.2xlarge,16,282995.0,17334,100,140000000,841.0
10,r4.2xlarge,48,612208.0,15408,100,140000000,152.0
4,r4.2xlarge,32,30312.0,11556,1000,140000000,169.0
8,m4.2xlarge,80,35301.0,19260,100,160000000,227.0
4,r4.2xlarge,32,603303.0,9530,100,160000000,165.0
8,r4.2xlarge,32,619316.0,15408,100,160000000,836.0
12,m4.2xlarge,32,300919.0,15408,1000,160000000,832.0
12,c4.2xlarge,48,392873.0,9630,100,180000000,450.0
4,r4.2xlarge,80,402781.0,15408,1000,100000000,450.0
12,m4.2xlarge,16,487746.0,9530,100,180000000,115.0
4,r4.2xlarge,32,456952.0,15408,100,160000000,763.0
12,r4.2xlarge,48,485665.0,15408,100,120000000,654.0
12,r4.2xlarge,48,391163.0,9630,100,180000000,229.0
12,m4.2xlarge,48,465057.0,9630,1000,160000000,446.0
8,r4.2xlarge,48,470452.0,15408,1000,180000000,605.0
12,m4.2xlarge,80,461499.0,11556,1000,160000000,448.0
4,m4.2xlarge,48,46780.0,13482,1000,160000000,160.0
12,r4.2xlarge,48,38414.0,11556,100,160000000,167.0
8,c4.2xlarge,48,347594.0,15408,1000,160000000,455.0
2,c4.2xlarge,48,36303.0,11556,1000,180000000,842.0
4,m4.2xlarge,32,399359.0,9630,100,160000000,452.0
4,r4.2xlarge,48,383487.0,9630,100,160000000,145.0
12,c4.2xlarge,48,605751.0,9630,100,140000000,866.0
8,m4.2xlarge,80,462731.0,13482,100,100000000,226.0
8,c4.2xlarge,16,465757.0,15408,100,100000000,126.0
8,m4.2xlarge,80,595089.0,9630,100,140000000,113.0
4,m4.2xlarge,48,412894.0,15408,100,160000000,176.0
4,r4.2xlarge,16,46638.0,13482,100,120000000,567.0
12,r4.2xlarge,32,305214.0,15408,100,100000000,201.0
4,m4.2xlarge,48,485466.0,11556,100,100000000,828.0
8,c4.2xlarge,48,603662.0,15408,1000,160000000,641.0
4,r4.2xlarge,80,362716.0,11556,100,140000000,223.0
4,r4.2xlarge,32,300256.0,15408,100,140000000,865.0
12,c4.2xlarge,32,606571.0,15408,1000,140000000,592.0
12,r4.2xlarge,48,356497.0,17334,100,160000000,107.0
12,c4.2xlarge,48,476990.0,9630,100,160000000,431.0
12,r4.2xlarge,48,307093.0,15408,100,180000000,855.0
10,m4.2xlarge,48,62281.0,9630,100,160000000,152.0
4,m4.2xlarge,48,402999.0,9530,100,160000000,843.0
4,r4.2xlarge,32,604783.0,15408,100,160000000,583.0
4,r4.2xlarge,16,485407.0,19260,100,160000000,445.0
4,r4.2xlarge,48,298125.0,15408,1000,160000000,228.0
4,m4.2xlarge,80,453511.0,9630,100,160000000,855.0
4,c4.2xlarge,32,454172.0,9530,100,160000000,255.0
10,r4.2xlarge,80,372220.0,9630,100,180000000,555.0
2,r4.2xlarge,48,453347.0,11556,100,160000000,562.0
10,r4.2xlarge,48,451476.0,9530,100,140000000,604.0
4,c4.2xlarge,80,289523.0,15408,100,140000000,215.0
4,m4.2xlarge,48,609817.0,13482,1000,160000000,786.0
4,c4.2xlarge,16,396744.0,19260,100,160000000,441.0
8,r4.2xlarge,80,643851.0,15408,100,10000000,211.0
4,r4.2xlarge,32,296230.0,15408,100,160000000,228.0
4,r4.2xlarge,48,404844.0,15408,100,140000000,165.0
8,r4.2xlarge,48,290549.0,9630,100,100000000,454.0
12,r4.2xlarge,48,42928.0,9630,100,100000000,658.0
10,r4.2xlarge,32,310395.0,9630,1000,160000000,256.0
4,m4.2xlarge,48,390158.0,15408,100,160000000,856.0
4,c4.2xlarge,16,408276.0,9630,100,160000000,159.0
4,c4.2xlarge,80,606736.0,13482,1000,100000000,467.0
4,m4.2xlarge,80,463784.0,9630,100,160000000,595.0
4,r4.2xlarge,48,383241.0,15408,100,160000000,452.0
8,r4.2xlarge,32,657012.0,11556,100,140000000,759.0
8,r4.2xlarge,32,475840.0,15408,100,160000000,613.0
8,c4.2xlarge,48,377596.0,9630,1000,160000000,719.0
4,c4.2xlarge,80,467052.0,17334,1000,100000000,605.0
4,r4.2xlarge,32,404760.0,15408,100,140000000,218.0
4,m4.2xlarge,48,490474.0,9630,1000,160000000,162.0
10,m4.2xlarge,16,605568.0,15408,100,140000000,220.0
4,r4.2xlarge,32,388274.0,9630,100,160000000,205.0
8,m4.2xlarge,16,452678.0,15408,100,160000000,712.0
10,r4.2xlarge,80,308973.0,15408,100,180000000,612.0
10,m4.2xlarge,48,458778.0,9530,1000,100000000,714.0
4,r4.2xlarge,48,631837.0,13482,100,160000000,843.0
4,m4.2xlarge,16,493249.0,15408,100,160000000,644.0
8,c4.2xlarge,32,359169.0,13482,1000,160000000,829.0
4,m4.2xlarge,80,49178.0,15408,100,140000000,855.0
4,c4.2xlarge,16,596912.0,9630,100,140000000,218.0
4,m4.2xlarge,16,415703.0,15408,100,120000000,222.0
8,r4.2xlarge,48,310203.0,15408,100,140000000,451.0
2,r4.2xlarge,48,316009.0,17334,100,140000000,610.0
12,r4.2xlarge,80,395247.0,15408,100,120000000,436.0
4,r4.2xlarge,80,615466.0,15408,100,180000000,636.0
8,c4.2xlarge,16,657506.0,19260,100,160000000,557.0
4,m4.2xlarge,32,293089.0,15408,1000,160000000,450.0
8,m4.2xlarge,32,378088.0,15408,100,140000000,184.0
12,r4.2xlarge,16,392318.0,11556,100,160000000,166.0
8,m4.2xlarge,16,47495.0,9530,1000,160000000,226.0
2,m4.2xlarge,16,293202.0,13482,100,160000000,856.0
4,m4.2xlarge,48,615119.0,13482,100,160000000,140.0
8,r4.2xlarge,32,37090.0,15408,100,160000000,840.0
8,m4.2xlarge,80,51403.0,9630,100,160000000,434.0
8,c4.2xlarge,32,388679.0,15408,100,100000000,348.0
4,c4.2xlarge,80,463142.0,9530,100,100000000,781.0
4,m4.2xlarge,80,309486.0,15408,100,140000000,763.0
4,r4.2xlarge,48,307255.0,15408,100,160000000,186.0
12,r4.2xlarge,16,304416.0,13482,1000,140000000,663.0
4,r4.2xlarge,32,487545.0,9630,100,160000000,443.0
12,r4.2xlarge,48,280908.0,9630,100,160000000,211.0
8,m4.2xlarge,32,460217.0,15408,100,180000000,165.0
8,m4.2xlarge,32,654224.0,13482,100,160000000,457.0
12,m4.2xlarge,48,480766.0,15408,100,100000000,664.0
8,r4.2xlarge,48,366361.0,15408,1000,160000000,786.0
10,r4.2xlarge,80,476406.0,9630,100,160000000,856.0
4,m4.2xlarge,16,619928.0,15408,100,140000000,164.0
12,r4.2xlarge,32,383329.0,13482,100,160000000,226.0
8,r4.2xlarge,32,454171.0,9530,100,140000000,151.0
8,m4.2xlarge,32,60498.0,15408,100,160000000,562.0
4,r4.2xlarge,16,592983.0,11556,100,160000000,785.0
10,r4.2xlarge,32,37901.0,9530,1000,160000000,608.0
8,c4.2xlarge,80,382426.0,13482,1000,10000000,229.0
4,c4.2xlarge,32,381537.0,9630,100,140000000,667.0
4,r4.2xlarge,32,305323.0,15408,100,160000000,859.0
12,c4.2xlarge,80,462804.0,15408,100,140000000,99.0
12,m4.2xlarge,48,456840.0,15408,100,160000000,713.0
8,c4.2xlarge,48,456424.0,17334,100,140000000,191.0
8,m4.2xlarge,48,368929.0,15408,100,140000000,651.0
12,r4.2xlarge,16,414998.0,15408,100,140000000,179.0
8,c4.2xlarge,48,468925.0,15408,100,160000000,189.0
12,r4.2xlarge,16,482828.0,9630,100,160000000,648.0
8,m4.2xlarge,16,468835.0,9530,100,180000000,655.0
12,m4.2xlarge,16,401143.0,9630,100,160000000,654.0
12,m4.2xlarge,32,475018.0,9630,100,160000000,636.0
12,r4.2xlarge,32,58259.0,9630,100,160000000,137.0
4,m4.2xlarge,80,407600.0,15408,100,160000000,786.0
8,c4.2xlarge,32,521068.0,15408,100,180000000,196.0
4,m4.2xlarge,48,477418.0,11556,100,160000000,179.0
4,c4.2xlarge,48,623393.0,15408,1000,180000000,454.0
4,m4.2xlarge,48,282934.0,15408,100,160000000,206.0
4,m4.2xlarge,48,48793.0,15408,1000,100000000,620.0
12,r4.2xlarge,32,472211.0,15408,100,100000000,589.0
2,r4.2xlarge,48,58982.0,9530,100,180000000,782.0
12,m4.2xlarge,16,468126.0,13482,100,140000000,859.0
4,m4.2xlarge,16,303466.0,15408,100,160000000,647.0
4,r4.2xlarge,32,394639.0,13482,100,160000000,156.0
2,r4.2xlarge,48,471782.0,9530,100,100000000,646.0
4,r4.2xlarge,48,481081.0,15408,100,100000000,452.0
4,m4.2xlarge,80,409012.0,9630,100,140000000,439.0
12,m4.2xlarge,80,614660.0,9530,1000,160000000,210.0
4,c4.2xlarge,16,381008.0,15408,100,160000000,182.0
12,m4.2xlarge,48,282087.0,17334,100,140000000,188.0
12,r4.2xlarge,48,293491.0,9530,100,100000000,134.0
8,r4.2xlarge,80,460132.0,9530,100,140000000,661.0
4,c4.2xlarge,16,383303.0,15408,100,140000000,631.0
4,c4.2xlarge,48,411182.0,15408,100,160000000,781.0
8,r4.2xlarge,16,63097.0,9530,100,160000000,625.0
2,m4.2xlarge,16,286328.0,9630,100,140000000,158.0
2,c4.2xlarge,48,500623.0,15408,100,140000000,661.0
4,r4.2xlarge,48,479632.0,13482,100,160000000,463.0
4,r4.2xlarge,48,453385.0,9630,100,160000000,186.0
4,c4.2xlarge,16,52499.0,9630,1000,160000000,847.0
4,c4.2xlarge,32,34469.0,15408,100,100000000,850.0
4,c4.2xlarge,16,320877.0,11556,1000,140000000,557.0
4,c4.2xlarge,32,410131.0,9530,100,100000000,259.0
2,c4.2xlarge,16,593549.0,15408,100,160000000,167.0
4,c4.2xlarge,16,382261.0,9530,100,160000000,113.0
8,r4.2xlarge,32,290367.0,9630,1000,180000000,633.0
12,c4.2xlarge,32,468463.0,9630,100,100000000,842.0
12,c4.2xlarge,80,621903.0,9630,100,180000000,107.0
4,c4.2xlarge,32,476373.0,15408,100,180000000,452.0
4,m4.2xlarge,80,509941.0,9630,100,180000000,188.0
8,m4.2xlarge,16,281013.0,9630,100,160000000,268.0
8,c4.2xlarge,48,64633.0,13482,1000,140000000,433.0
12,r4.2xlarge,16,395431.0,9630,100,140000000,254.0
4,r4.2xlarge,48,472673.0,15408,100,160000000,85.0
10,m4.2xlarge,16,605173.0,15408,100,160000000,846.0
4,r4.2xlarge,48,382651.0,15408,100,160000000,844.0
4,m4.2xlarge,80,362428.0,9530,100,140000000,647.0
8,c4.2xlarge,16,386313.0,15408,100,160000000,195.0
4,m4.2xlarge,80,452340.0,9630,100,140000000,621.0
8,m4.2xlarge,48,472871.0,17334,100,160000000,608.0
8,m4.2xlarge,32,473312.0,11556,100,160000000,217.0
4,r4.2xlarge,80,384696.0,15408,100,160000000,130.0
8,m4.2xlarge,32,505575.0,9530,1000,160000000,556.0
4,r4.2xlarge,32,287868.0,15408,100,160000000,848.0
8,r4.2xlarge,16,324258.0,9630,100,160000000,634.0
4,r4.2xlarge,48,478452.0,17334,100,140000000,185.0
4,m4.2xlarge,16,363110.0,15408,100,140000000,462.0
12,c4.2xlarge,48,482133.0,9630,100,160000000,197.0
12,m4.2xlarge,48,297115.0,9630,100,160000000,432.0
4,r4.2xlarge,48,292098.0,9630,1000,10000000,631.0
4,m4.2xlarge,16,297894.0,15408,100,160000000,445.0
4,c4.2xlarge,48,603459.0,13482,100,160000000,864.0
