	instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
149	8	r4.xlarge	34	72498	19841	5	192945421	25	351
150	9	m4.2xlarge	41	67968	18263	5	185905718	30	690
151	10	m4.2xlarge	36	215035	18949	5	206877978	20	249
152	11	r4.xlarge	47	338224	18292	14	199309700	19	196
153	3	m4.2xlarge	34	342403	20356	9	214196859	21	1121
154	6	r4.xlarge	63	138182	11356	15	259220736	19	196
155	6	r4.xlarge	96	661033	18813	5	212777572	24	122
156	5	m4.2xlarge	90	661012	18984	14	260450770	27	173
157	3	r4.2xlarge	40	96854	19194	5	185206402	88	386
158	11	r4.2xlarge	68	398770	23413	5	186606433	20	410
159	7	r4.xlarge	37	575608	28177	14	204570351	19	394
160	10	r4.2xlarge	75	355640	23663	13	206044465	1	56
161	8	m4.2xlarge	79	356064	19510	5	208308037	21	229
162	2	r4.2xlarge	38	702095	29593	5	216445161	17	194
163	12	r4.2xlarge	14	363738	19823	5	209012970	48	252
164	7	r4.xlarge	54	91895	18824	5	195708115	25	206
165	11	r4.2xlarge	30	470363	25062	5	216099996	17	184
166	10	m4.2xlarge	96	326760	18798	14	192618739	22	227
167	12	r4.xlarge	96	732000	18622	13	214953816	27	212
168	5	r4.2xlarge	63	239227	23082	14	100000000	22	206
169	3	r4.xlarge	38	732000	18763	10	210740318	1	1182
170	9	r4.xlarge	27	373259	18957	5	164338973	19	338
171	4	m4.2xlarge	96	584230	13950	5	208587244	27	168
172	10	r4.2xlarge	93	61000	20050	5	195207966	26	109
173	4	m4.2xlarge	24	61000	19265	15	146982952	24	75
174	7	r4.2xlarge	9	471999	29033	14	100000000	27	290
175	11	r4.2xlarge	27	104959	14030	5	136502673	25	222
176	5	r4.2xlarge	42	61000	29593	14	193774164	23	112
177	7	m4.2xlarge	42	61000	18619	5	194696375	29	292
178	9	r4.2xlarge	51	142569	9730	15	263983288	30	126
179	5	r4.2xlarge	50	226637	20042	5	210375659	19	295
180	7	r4.xlarge	66	171167	22699	9	191569317	28	221
181	10	m4.2xlarge	96	124239	23437	14	263844795	55	271
182	6	r4.xlarge	52	182976	19090	5	215900642	19	1109
183	9	r4.2xlarge	20	377226	9730	9	204624201	25	383
184	5	m4.2xlarge	12	232354	19459	5	206966680	1	177
185	10	r4.xlarge	83	120917	18653	5	248433462	23	316
186	9	r4.2xlarge	48	241542	24368	15	188921871	23	412
187	10	r4.2xlarge	8	378361	14962	5	214636021	19	919
188	6	r4.2xlarge	40	369951	18700	5	199109464	100	56
189	6	r4.xlarge	68	472730	13504	5	100844637	53	321
190	4	m4.2xlarge	33	237540	20054	5	195848482	21	387
191	7	r4.2xlarge	42	526406	19441	15	294322410	24	311
192	6	r4.2xlarge	96	279159	19673	15	101004806	20	275
193	9	r4.xlarge	39	500435	19758	12	215692168	23	374
194	7	m4.2xlarge	67	158500	19610	5	100000000	23	345
195	5	r4.2xlarge	21	239853	18609	5	100000000	46	331
196	10	r4.2xlarge	19	700235	19434	5	268063209	18	344
197	6	r4.xlarge	87	143929	20197	11	193433811	20	283
198	4	m4.2xlarge	20	339359	19549	5	219202619	17	362
199	12	m4.2xlarge	39	81114	19521	5	209400389	24	367
