	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
152	5	m4.2xlarge	65	30000	18899	100	200000000	382
153	4	c4.2xlarge	28	325023	15330	102	46079396	85
154	2	r4.2xlarge	24	30000	17641	100	131218422	138
155	5	c4.2xlarge	53	30000	12497	100	198600906	417
156	5	m4.2xlarge	90	205776	16144	100	167403712	407
157	2	c4.2xlarge	92	30000	11856	103	174086323	206
158	5	m4.2xlarge	83	30000	11771	146	200000000	239
159	3	c4.2xlarge	16	76153	10933	100	173064196	256
160	10	c4.2xlarge	90	30000	19260	100	200000000	451
161	12	c4.2xlarge	90	59854	13643	143	198115514	105
162	12	c4.2xlarge	69	30000	12256	125	180387547	783
163	5	m4.2xlarge	80	65863	9530	100	28547313	246
164	8	c4.2xlarge	70	155333	18132	105	200000000	231
165	9	c4.2xlarge	89	162818	12975	100	29375408	139
166	5	c4.2xlarge	80	34962	12968	973	172387549	202
167	5	c4.2xlarge	67	732000	9946	111	159230248	155
168	7	c4.2xlarge	28	140289	14780	116	200000000	242
169	3	m4.2xlarge	32	330237	9530	860	200000000	147
170	11	m4.2xlarge	96	172121	9676	993	200000000	199
171	3	c4.2xlarge	54	30000	9530	122	200000000	175
172	3	m4.2xlarge	73	280693	17394	805	176563908	256
173	4	m4.2xlarge	96	254176	16140	100	164811516	225
174	9	m4.2xlarge	86	184633	15096	100	45459167	233
175	5	c4.2xlarge	25	83120	9530	102	200000000	139
176	12	m4.2xlarge	73	116390	9593	1000	200000000	221
177	2	m4.2xlarge	88	78410	15314	100	184913713	842
178	9	r4.2xlarge	73	116303	11906	922	198822841	242
179	12	m4.2xlarge	67	80958	9530	1000	166935018	324
180	10	c4.2xlarge	35	30000	9530	115	166272591	800
181	11	m4.2xlarge	87	105787	16475	764	156878541	187
182	9	m4.2xlarge	71	120793	10276	105	200000000	143
183	11	r4.2xlarge	66	482260	17443	104	38140375	169
184	7	c4.2xlarge	96	106903	13659	100	200000000	637
185	10	m4.2xlarge	86	30000	9530	100	183757680	120
186	11	c4.2xlarge	72	199690	17630	101	148561959	179
187	6	m4.2xlarge	96	206853	16262	118	165152017	73
188	12	m4.2xlarge	25	69275	12850	100	200000000	233
189	9	r4.2xlarge	91	30000	9530	978	155993585	204
190	3	m4.2xlarge	96	455683	15197	100	200000000	259
191	4	m4.2xlarge	25	69484	12909	855	33359167	191
192	12	m4.2xlarge	83	53179	9530	106	176255179	236
193	12	c4.2xlarge	20	126337	9530	119	200000000	284
194	9	r4.2xlarge	92	30000	16611	1000	154425850	132
195	9	r4.2xlarge	55	315471	17619	100	200000000	188
196	11	r4.2xlarge	90	114990	18275	1000	31433539	257
197	12	c4.2xlarge	88	122602	10689	103	181662963	683
198	4	m4.2xlarge	96	68059	15766	100	10000000	95
199	4	c4.2xlarge	90	30000	10591	106	163304734	126
