	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
93	6	c4.2xlarge	50	30000	16806	100	194523608	319
94	9	m4.2xlarge	70	383521	12867	471	96934254	72
95	2	m4.2xlarge	16	30000	13715	217	130817242	385
96	2	m4.2xlarge	19	30000	9530	100	105429173	251
97	9	m4.2xlarge	72	246529	10681	514	69968336	195
98	6	r4.2xlarge	47	352258	9530	100	106016913	72
99	9	m4.2xlarge	69	450143	12487	490	91186922	152
100	6	c4.2xlarge	45	273500	13777	100	176558150	332
101	5	c4.2xlarge	38	30000	14227	329	125065347	337
102	12	m4.2xlarge	96	303877	9530	768	28967751	72
103	12	r4.2xlarge	96	692130	13758	399	113331258	134
104	8	c4.2xlarge	64	260255	16449	100	172116552	297
105	6	m4.2xlarge	48	205992	9530	281	59462256	72
106	2	r4.2xlarge	16	30146	13159	100	136760520	394
107	6	m4.2xlarge	46	93907	12986	180	126958770	220
108	3	m4.2xlarge	23	30000	10134	741	41877492	330
109	8	c4.2xlarge	68	185672	15541	216	149869014	401
110	10	c4.2xlarge	83	156045	10782	347	87557733	97
111	9	r4.2xlarge	69	348917	12487	262	113581052	284
112	2	c4.2xlarge	18	30000	17536	291	163164690	455
113	6	m4.2xlarge	51	267367	13735	189	133880074	187
114	7	c4.2xlarge	52	100153	12201	343	102599598	368
115	12	m4.2xlarge	96	538843	15691	342	139025387	72
116	7	c4.2xlarge	52	188262	14728	100	200000000	260
117	2	r4.2xlarge	18	255048	13828	302	123624255	217
118	7	r4.2xlarge	55	355411	13334	100	180601403	313
119	4	r4.2xlarge	34	220147	17420	100	200000000	313
120	8	r4.2xlarge	62	351484	17950	100	200000000	214
121	4	m4.2xlarge	35	204927	14674	120	150341114	241
122	10	m4.2xlarge	80	287010	17152	675	121315739	382
123	9	m4.2xlarge	71	274618	15354	100	180545544	167
124	6	r4.2xlarge	45	274056	15142	100	159807832	240
125	5	m4.2xlarge	36	125856	13714	239	128632782	307
126	11	c4.2xlarge	89	243383	9530	916	10000000	177
127	9	r4.2xlarge	70	520814	13203	568	90858953	72
128	3	r4.2xlarge	26	316199	9530	365	64944004	202
129	6	r4.2xlarge	52	339802	16125	100	173011331	296
130	10	c4.2xlarge	78	363893	13636	511	100989027	265
131	4	r4.2xlarge	35	443381	13179	797	67903568	126
132	4	r4.2xlarge	31	44169	11286	221	105224143	72
133	6	m4.2xlarge	46	298234	9530	394	67733420	192
134	7	m4.2xlarge	55	88167	14437	100	158895339	249
135	7	m4.2xlarge	58	260861	10880	858	38095861	124
136	7	r4.2xlarge	59	591059	10034	704	44499182	77
137	4	c4.2xlarge	29	30000	12510	100	131508099	529
138	9	c4.2xlarge	69	171611	18776	100	198267448	236
139	6	c4.2xlarge	51	102713	10595	837	37154962	272
140	10	m4.2xlarge	79	322487	14693	441	118892541	270
141	7	r4.2xlarge	56	448652	9530	818	10000000	72
142	7	c4.2xlarge	56	238281	13457	423	107829814	241
143	11	r4.2xlarge	84	552610	10754	212	100562911	199
144	6	m4.2xlarge	51	177015	15422	569	113792093	462
145	4	m4.2xlarge	31	228005	15333	100	200000000	288
146	6	c4.2xlarge	48	78546	16531	100	173705412	353
147	7	m4.2xlarge	56	321405	13529	175	133094344	362
148	2	m4.2xlarge	17	30000	13259	100	161318905	309
149	12	m4.2xlarge	96	509289	10644	508	70176430	157
150	7	m4.2xlarge	57	192834	16639	597	123686060	330
151	12	r4.2xlarge	96	732000	11276	307	96591281	72
152	2	r4.2xlarge	18	280733	17308	100	185951894	271
153	7	c4.2xlarge	56	30000	17361	179	172499053	438
154	7	m4.2xlarge	58	168194	9530	816	27184511	175
155	9	c4.2xlarge	70	94096	9530	593	45916197	276
156	11	m4.2xlarge	85	393850	9530	679	26091087	142
157	5	m4.2xlarge	41	212445	12520	298	110471166	192
158	6	r4.2xlarge	47	366209	11192	371	89447024	129
159	2	m4.2xlarge	16	30000	11352	270	101084365	435
160	2	c4.2xlarge	16	30000	12152	663	70545467	321
161	10	c4.2xlarge	76	154983	12862	228	120878439	245
162	7	r4.2xlarge	57	327319	16019	100	170508901	228
163	3	m4.2xlarge	26	72377	11562	280	102259241	296
164	4	m4.2xlarge	32	147225	13928	156	139091123	306
165	11	m4.2xlarge	91	439839	12387	100	134876190	72
166	4	c4.2xlarge	31	30000	19260	100	200000000	435
167	2	m4.2xlarge	16	30000	16804	320	152788120	550
168	3	c4.2xlarge	22	30000	13936	100	147365499	358
169	8	m4.2xlarge	61	264762	11361	370	91289688	270
170	5	m4.2xlarge	44	270061	16366	100	200000000	242
171	2	m4.2xlarge	16	30000	13599	100	153522033	298
172	11	m4.2xlarge	85	446020	19174	100	200000000	483
173	6	c4.2xlarge	50	46437	9530	886	19022127	176
174	5	c4.2xlarge	37	30000	19098	100	200000000	376
175	8	c4.2xlarge	64	185812	17020	225	164395730	364
176	7	m4.2xlarge	55	305765	12696	308	111282705	72
177	10	c4.2xlarge	76	161968	9530	230	42302380	72
178	4	m4.2xlarge	34	240851	11120	100	141093661	167
179	5	m4.2xlarge	41	306847	17102	100	200000000	213
180	10	r4.2xlarge	82	385540	9530	353	66949058	72
181	6	m4.2xlarge	49	216926	17430	100	195136627	399
182	8	r4.2xlarge	61	284607	9711	728	38723081	153
183	6	m4.2xlarge	50	211372	19070	100	200000000	427
184	10	m4.2xlarge	80	440492	17825	100	200000000	358
185	6	r4.2xlarge	46	508919	16344	677	112741682	115
186	7	r4.2xlarge	54	232243	13585	567	94967279	147
187	12	m4.2xlarge	96	600684	18927	100	200000000	189
188	2	r4.2xlarge	16	203906	14207	100	158900506	316
189	3	c4.2xlarge	23	30000	10358	281	89649138	404
190	8	m4.2xlarge	62	252506	11121	634	62693583	373
191	7	c4.2xlarge	53	118153	16369	100	182113241	327
192	9	r4.2xlarge	68	372887	17016	399	147170187	285
193	7	r4.2xlarge	54	474670	16206	100	175435088	311
194	4	c4.2xlarge	34	30000	10297	521	65262373	215
195	3	c4.2xlarge	23	30000	14481	287	131890047	449
196	5	r4.2xlarge	40	270555	9530	578	43849095	72
197	6	m4.2xlarge	45	198148	9530	698	10000000	114
198	4	m4.2xlarge	33	305405	13894	100	192100594	363
199	8	m4.2xlarge	61	304959	19260	100	200000000	370
