instance_count,machine_type,slots,memory,data_size_MB,features,observations,k,gross_runtime
4,r4.2xlarge,24,411429.0,18600,5,175000000,7,1417.0
8,r4.2xlarge,16,550705.0,18600,5,175000000,5,236.0
2,r4.xlarge,16,375863.0,18600,5,175000000,7,304.0
8,r4.xlarge,96,482913.0,18600,5,175000000,7,150.0
2,r4.2xlarge,64,372691.0,18600,5,100000000,7,1629.0
8,r4.2xlarge,16,168004.0,18600,5,100000000,7,267.0
6,r4.xlarge,24,402765.0,10500,5,100000000,7,676.0
8,r4.2xlarge,64,417059.0,18600,5,175000000,7,560.0
8,r4.2xlarge,16,250781.0,18600,5,100000000,7,547.0
8,r4.2xlarge,8,613788.0,18600,5,175000000,7,989.0
2,r4.2xlarge,16,365964.0,16000,5,100000000,7,1042.0
4,r4.2xlarge,40,119968.0,18600,5,175000000,7,710.0
2,r4.xlarge,24,392366.0,10500,5,175000000,7,180.0
4,r4.2xlarge,64,393929.0,13200,5,100000000,7,267.0
2,r4.2xlarge,96,626065.0,18600,5,100000000,7,1126.0
4,r4.2xlarge,24,560834.0,18600,5,100000000,7,181.0
6,r4.2xlarge,16,259719.0,16000,15,100000000,3,1183.0
2,r4.2xlarge,96,615937.0,18600,5,100000000,5,103.0
8,r4.xlarge,32,241878.0,18600,5,100000000,5,1090.0
6,r4.xlarge,64,386612.0,10500,5,175000000,7,279.0
2,r4.2xlarge,64,103798.0,13200,15,100000000,5,568.0
6,r4.2xlarge,96,121780.0,18600,5,175000000,7,1145.0
2,r4.2xlarge,16,425000.0,18600,5,175000000,3,1060.0
8,r4.xlarge,64,627829.0,18600,5,175000000,5,546.0
8,r4.2xlarge,16,416288.0,13200,5,175000000,5,646.0
4,r4.2xlarge,16,629665.0,18600,5,100000000,7,210.0
8,r4.2xlarge,16,550149.0,18600,15,175000000,3,103.0
2,r4.2xlarge,16,411616.0,13200,5,175000000,7,220.0
8,r4.xlarge,96,653501.0,18600,5,100000000,5,618.0
4,r4.2xlarge,16,564124.0,16000,5,175000000,7,95.0
2,r4.2xlarge,16,326613.0,18600,5,175000000,5,137.0
8,r4.2xlarge,32,557316.0,18600,5,100000000,7,3465.0
2,r4.xlarge,16,432814.0,18600,5,175000000,3,661.0
8,r4.2xlarge,24,383509.0,18600,5,175000000,3,996.0
2,r4.2xlarge,96,110870.0,13200,5,100000000,7,1640.0
8,r4.2xlarge,16,249891.0,16000,5,175000000,7,729.0
2,r4.xlarge,16,559052.0,18600,5,100000000,3,305.0
8,r4.2xlarge,40,236904.0,18600,5,175000000,3,1057.0
8,r4.2xlarge,32,655891.0,10500,15,100000000,3,1188.0
2,r4.xlarge,96,433980.0,18600,5,175000000,5,760.0
8,r4.2xlarge,64,403896.0,13200,5,100000000,5,711.0
8,r4.2xlarge,64,423158.0,18600,5,175000000,7,602.0
8,r4.2xlarge,96,407657.0,18600,5,100000000,3,244.0
2,r4.2xlarge,16,658724.0,16000,5,100000000,7,1119.0
8,r4.2xlarge,16,165025.0,18600,15,175000000,7,1077.0
6,r4.2xlarge,8,233660.0,18600,5,100000000,3,1055.0
8,r4.2xlarge,16,453457.0,13200,5,100000000,7,554.0
8,r4.2xlarge,16,230268.0,13200,5,100000000,7,568.0
4,r4.2xlarge,16,617053.0,18600,5,100000000,5,124.0
8,r4.2xlarge,96,393481.0,18600,5,175000000,3,201.0
4,r4.2xlarge,32,246672.0,18600,5,175000000,5,1130.0
8,r4.2xlarge,64,117384.0,18600,5,100000000,7,1157.0
8,r4.2xlarge,96,397396.0,18600,5,175000000,5,104.0
8,r4.xlarge,16,552004.0,18600,5,100000000,7,1170.0
8,r4.2xlarge,16,316193.0,18600,5,100000000,5,104.0
8,r4.2xlarge,64,617123.0,18600,5,100000000,3,1556.0
6,r4.2xlarge,16,476725.0,18600,5,100000000,7,260.0
8,r4.xlarge,8,106968.0,13200,5,100000000,5,235.0
8,r4.2xlarge,16,429396.0,13200,5,175000000,5,1198.0
6,r4.2xlarge,96,397721.0,18600,5,175000000,7,171.0
8,r4.xlarge,16,229476.0,10500,5,175000000,5,1117.0
2,r4.xlarge,16,395193.0,18600,5,100000000,7,1005.0
4,r4.2xlarge,96,402706.0,18600,5,175000000,7,219.0
8,r4.2xlarge,40,98707.0,13200,5,175000000,5,1168.0
4,r4.2xlarge,16,168715.0,18600,15,100000000,5,1478.0
8,r4.2xlarge,8,188515.0,16000,5,100000000,7,1045.0
6,r4.2xlarge,96,394385.0,16000,5,100000000,7,696.0
2,r4.xlarge,64,464364.0,18600,5,100000000,7,151.0
4,r4.2xlarge,96,612080.0,18600,5,100000000,7,1490.0
8,r4.2xlarge,16,165055.0,18600,5,100000000,7,749.0
8,r4.2xlarge,16,472320.0,18600,5,175000000,7,763.0
8,r4.xlarge,64,403909.0,13200,5,175000000,7,575.0
8,r4.2xlarge,16,619504.0,18600,5,175000000,7,295.0
8,r4.2xlarge,16,643102.0,18600,15,175000000,7,217.0
6,r4.2xlarge,16,167700.0,18600,15,175000000,3,995.0
8,r4.2xlarge,96,178547.0,18600,5,100000000,3,671.0
4,r4.2xlarge,32,532021.0,18600,5,100000000,7,1130.0
6,r4.2xlarge,8,165036.0,10500,5,175000000,7,994.0
8,r4.2xlarge,24,261905.0,18600,5,100000000,7,1155.0
8,r4.2xlarge,64,604488.0,18600,15,100000000,3,276.0
8,r4.2xlarge,32,609830.0,18600,5,175000000,7,1002.0
2,r4.2xlarge,32,353945.0,18600,5,175000000,7,685.0
8,r4.2xlarge,16,625926.0,18600,5,175000000,7,196.0
8,r4.2xlarge,96,628615.0,18600,5,100000000,7,1040.0
8,r4.2xlarge,32,402184.0,18600,5,175000000,7,196.0
2,r4.2xlarge,64,419067.0,18600,5,100000000,7,130.0
8,r4.2xlarge,96,428928.0,18600,5,100000000,5,1061.0
2,r4.2xlarge,16,297798.0,16000,5,100000000,5,240.0
8,r4.2xlarge,96,419187.0,13200,5,175000000,5,200.0
2,r4.2xlarge,8,257114.0,18600,5,100000000,7,1557.0
8,r4.xlarge,8,240235.0,18600,15,100000000,5,215.0
8,r4.2xlarge,40,371361.0,18600,5,100000000,7,723.0
8,r4.2xlarge,16,450072.0,16000,5,100000000,7,617.0
4,r4.2xlarge,16,411340.0,16000,5,100000000,3,275.0
2,r4.2xlarge,16,637215.0,18600,5,100000000,3,112.0
8,r4.2xlarge,16,412323.0,16000,5,100000000,7,636.0
6,r4.2xlarge,64,175402.0,18600,5,175000000,7,619.0
8,r4.2xlarge,32,180744.0,18600,5,100000000,7,1087.0
8,r4.xlarge,96,178714.0,18600,5,100000000,5,4296.0
8,r4.2xlarge,96,239199.0,16000,5,100000000,3,655.0
8,r4.2xlarge,96,408482.0,16000,5,175000000,7,3661.0
2,r4.2xlarge,16,625904.0,18600,15,175000000,5,732.0
4,r4.2xlarge,16,606219.0,18600,5,100000000,5,567.0
8,r4.2xlarge,96,381758.0,16000,5,175000000,5,165.0
2,r4.xlarge,64,396917.0,18600,5,175000000,7,545.0
6,r4.2xlarge,8,555580.0,18600,5,100000000,7,258.0
2,r4.2xlarge,32,340670.0,13200,5,175000000,7,98.0
2,r4.2xlarge,16,398033.0,18600,5,100000000,7,738.0
2,r4.2xlarge,96,238174.0,16000,5,175000000,7,1030.0
8,r4.xlarge,8,404556.0,18600,15,100000000,7,1079.0
2,r4.2xlarge,40,260727.0,18600,5,175000000,7,108.0
4,r4.2xlarge,64,408317.0,18600,5,100000000,5,163.0
8,r4.2xlarge,16,372608.0,16000,5,100000000,3,181.0
8,r4.xlarge,96,375001.0,16000,5,100000000,7,552.0
2,r4.2xlarge,96,260519.0,18600,5,100000000,5,1604.0
2,r4.2xlarge,96,182912.0,18600,5,175000000,7,1145.0
8,r4.xlarge,8,316687.0,18600,5,175000000,5,1289.0
8,r4.2xlarge,32,252759.0,18600,5,175000000,5,727.0
2,r4.2xlarge,16,476618.0,18600,5,100000000,7,557.0
8,r4.2xlarge,96,443954.0,18600,5,175000000,7,106.0
8,r4.2xlarge,40,418335.0,13200,5,100000000,3,3520.0
6,r4.2xlarge,32,161701.0,18600,5,100000000,7,741.0
8,r4.2xlarge,16,402952.0,16000,5,175000000,5,709.0
8,r4.xlarge,32,172869.0,18600,15,100000000,3,1583.0
4,r4.xlarge,40,102582.0,18600,5,100000000,7,1112.0
4,r4.2xlarge,96,384335.0,18600,5,175000000,3,720.0
2,r4.xlarge,32,241454.0,18600,5,100000000,7,632.0
2,r4.2xlarge,96,425870.0,13200,5,175000000,7,547.0
8,r4.2xlarge,96,616861.0,18600,5,175000000,7,273.0
8,r4.2xlarge,40,443953.0,18600,5,175000000,7,1029.0
6,r4.2xlarge,24,477096.0,18600,5,175000000,7,627.0
2,r4.2xlarge,24,621346.0,13200,15,100000000,7,174.0
2,r4.2xlarge,96,410532.0,18600,15,175000000,7,1014.0
2,r4.2xlarge,8,418717.0,18600,5,100000000,7,172.0
6,r4.2xlarge,8,398069.0,18600,5,175000000,7,1026.0
4,r4.2xlarge,8,612742.0,18600,5,100000000,3,231.0
8,r4.xlarge,96,371647.0,18600,5,175000000,7,686.0
4,r4.xlarge,16,535990.0,16000,5,100000000,7,543.0
2,r4.xlarge,40,414200.0,18600,5,100000000,3,196.0
2,r4.2xlarge,40,312198.0,16000,5,100000000,7,664.0
2,r4.2xlarge,16,113385.0,18600,5,100000000,7,1181.0
8,r4.2xlarge,32,254097.0,18600,5,100000000,7,3551.0
6,r4.2xlarge,40,459704.0,18600,15,175000000,7,112.0
6,r4.2xlarge,96,413093.0,18600,5,100000000,7,106.0
8,r4.2xlarge,32,306320.0,13200,5,100000000,7,1179.0
8,r4.2xlarge,40,378614.0,18600,5,100000000,7,270.0
2,r4.2xlarge,8,423643.0,18600,5,100000000,7,1178.0
8,r4.2xlarge,96,191007.0,18600,5,100000000,5,599.0
2,r4.2xlarge,32,390207.0,16000,5,175000000,5,1131.0
2,r4.2xlarge,96,369257.0,13200,5,175000000,5,1008.0
8,r4.2xlarge,8,430031.0,18600,5,100000000,3,948.0
4,r4.2xlarge,16,417740.0,18600,5,175000000,7,168.0
4,r4.2xlarge,16,365750.0,18600,5,100000000,7,307.0
8,r4.2xlarge,16,487942.0,18600,5,175000000,7,645.0
8,r4.2xlarge,96,127658.0,18600,15,175000000,5,101.0
8,r4.xlarge,40,108031.0,18600,5,100000000,7,1189.0
8,r4.xlarge,16,385714.0,18600,5,100000000,7,1126.0
4,r4.xlarge,8,608408.0,18600,5,100000000,7,158.0
8,r4.2xlarge,96,303014.0,18600,5,100000000,5,3449.0
2,r4.xlarge,96,252816.0,16000,5,175000000,3,1070.0
8,r4.2xlarge,16,597879.0,18600,15,175000000,7,1021.0
8,r4.2xlarge,8,189253.0,18600,5,100000000,7,1555.0
2,r4.2xlarge,32,380676.0,18600,5,100000000,5,127.0
8,r4.2xlarge,96,433331.0,18600,5,100000000,5,579.0
8,r4.2xlarge,96,232739.0,18600,5,175000000,7,299.0
2,r4.2xlarge,32,250533.0,18600,5,100000000,7,237.0
2,r4.2xlarge,16,392261.0,13200,5,100000000,5,594.0
6,r4.2xlarge,16,540093.0,16000,5,100000000,7,736.0
2,r4.2xlarge,96,630629.0,18600,5,175000000,7,680.0
2,r4.2xlarge,24,97911.0,18600,15,175000000,7,1197.0
6,r4.2xlarge,16,190300.0,16000,5,175000000,5,202.0
4,r4.2xlarge,16,644659.0,18600,5,100000000,7,738.0
6,r4.2xlarge,16,399229.0,18600,5,175000000,7,1584.0
4,r4.2xlarge,16,405717.0,13200,15,100000000,7,550.0
8,r4.2xlarge,24,545897.0,18600,5,175000000,7,1040.0
8,r4.2xlarge,96,121133.0,18600,15,175000000,3,1049.0
2,r4.2xlarge,64,123449.0,18600,5,175000000,7,578.0
6,r4.xlarge,8,635826.0,18600,5,100000000,7,593.0
2,r4.2xlarge,8,548175.0,18600,15,175000000,7,591.0
8,r4.2xlarge,16,485434.0,18600,5,175000000,3,1182.0
4,r4.2xlarge,16,173294.0,13200,5,100000000,7,643.0
6,r4.2xlarge,96,425751.0,18600,5,175000000,7,1405.0
2,r4.2xlarge,96,607141.0,18600,5,175000000,7,125.0
2,r4.xlarge,16,598423.0,10500,5,100000000,5,220.0
6,r4.2xlarge,64,62364.0,18600,5,175000000,7,1436.0
4,r4.2xlarge,96,486447.0,10500,5,175000000,7,1640.0
8,r4.2xlarge,64,79733.0,18600,5,100000000,3,95.0
8,r4.2xlarge,40,663105.0,18600,5,100000000,5,181.0
8,r4.xlarge,8,394435.0,18600,5,175000000,7,1165.0
8,r4.2xlarge,16,661876.0,18600,5,175000000,7,763.0
2,r4.2xlarge,96,364359.0,16000,5,100000000,7,98.0
6,r4.2xlarge,16,320983.0,18600,5,100000000,7,278.0
8,r4.2xlarge,96,352929.0,18600,5,175000000,5,208.0
8,r4.2xlarge,64,485587.0,18600,5,100000000,7,995.0
4,r4.xlarge,16,252650.0,18600,5,100000000,3,714.0
2,r4.2xlarge,32,628086.0,18600,5,175000000,7,119.0
2,r4.2xlarge,32,417977.0,18600,15,100000000,7,677.0
2,r4.2xlarge,64,643846.0,18600,5,100000000,7,268.0
8,r4.2xlarge,24,649398.0,18600,5,175000000,5,244.0
8,r4.xlarge,16,235723.0,18600,5,100000000,7,1071.0
8,r4.xlarge,96,617498.0,18600,5,100000000,3,992.0
4,r4.xlarge,16,94848.0,18600,15,100000000,5,638.0
8,r4.2xlarge,96,99617.0,18600,5,100000000,5,1190.0
2,r4.xlarge,16,608986.0,13200,5,175000000,3,168.0
6,r4.2xlarge,16,657842.0,18600,5,175000000,7,1488.0
8,r4.2xlarge,16,185756.0,18600,15,175000000,7,571.0
8,r4.2xlarge,32,374298.0,16000,5,175000000,7,208.0
4,r4.2xlarge,96,417319.0,18600,15,100000000,7,659.0
8,r4.2xlarge,16,599182.0,13200,5,175000000,3,556.0
2,r4.2xlarge,16,401998.0,18600,5,100000000,7,185.0
8,r4.2xlarge,32,496543.0,18600,5,100000000,7,687.0
8,r4.2xlarge,24,406214.0,13200,5,175000000,5,3656.0
8,r4.2xlarge,24,409745.0,18600,15,175000000,7,190.0
8,r4.2xlarge,96,482002.0,18600,15,175000000,7,1084.0
8,r4.2xlarge,96,473444.0,18600,5,100000000,7,199.0
4,r4.2xlarge,24,77039.0,18600,5,175000000,5,144.0
8,r4.2xlarge,64,169692.0,18600,5,100000000,5,182.0
8,r4.2xlarge,96,364569.0,18600,5,100000000,7,238.0
2,r4.2xlarge,24,100575.0,18600,15,175000000,7,629.0
4,r4.2xlarge,16,380498.0,13200,5,175000000,7,3570.0
2,r4.xlarge,40,365327.0,16000,5,175000000,3,280.0
8,r4.2xlarge,32,611326.0,13200,5,100000000,7,1209.0
6,r4.2xlarge,96,407522.0,18600,5,100000000,5,1184.0
6,r4.2xlarge,8,443964.0,18600,5,100000000,3,1516.0
8,r4.2xlarge,96,601135.0,13200,5,100000000,3,99.0
4,r4.2xlarge,32,393435.0,18600,5,175000000,5,1123.0
2,r4.xlarge,8,76903.0,18600,5,100000000,7,200.0
8,r4.2xlarge,16,324060.0,18600,5,100000000,5,147.0
2,r4.2xlarge,64,563452.0,18600,5,100000000,7,995.0
6,r4.2xlarge,24,609330.0,18600,5,175000000,7,612.0
2,r4.2xlarge,96,379023.0,18600,5,100000000,5,272.0
2,r4.2xlarge,16,319321.0,18600,5,100000000,7,1201.0
8,r4.2xlarge,16,612110.0,18600,15,100000000,7,564.0
8,r4.xlarge,96,373079.0,18600,5,175000000,3,736.0
8,r4.2xlarge,32,421151.0,13200,5,175000000,7,551.0
8,r4.xlarge,64,325857.0,18600,5,175000000,7,1146.0
8,r4.2xlarge,96,192506.0,13200,5,175000000,5,1439.0
4,r4.2xlarge,64,417527.0,10500,5,175000000,7,634.0
2,r4.2xlarge,16,610400.0,18600,5,175000000,7,734.0
4,r4.2xlarge,16,429197.0,18600,5,175000000,7,628.0
2,r4.xlarge,32,250184.0,18600,15,175000000,5,300.0
2,r4.2xlarge,96,432259.0,13200,5,175000000,7,1146.0
2,r4.2xlarge,16,466441.0,13200,5,175000000,7,229.0
8,r4.xlarge,96,354558.0,18600,5,175000000,7,576.0
2,r4.2xlarge,24,398552.0,18600,5,175000000,7,1062.0
8,r4.2xlarge,40,430313.0,10500,5,100000000,7,186.0
2,r4.2xlarge,96,174862.0,18600,5,100000000,5,672.0
2,r4.2xlarge,32,648763.0,18600,15,175000000,7,762.0
2,r4.2xlarge,8,411549.0,18600,5,175000000,7,157.0
8,r4.2xlarge,96,647743.0,18600,5,100000000,5,1099.0
2,r4.2xlarge,16,248373.0,18600,5,175000000,5,748.0
6,r4.xlarge,64,419291.0,18600,5,100000000,3,617.0
6,r4.xlarge,24,175843.0,18600,5,100000000,7,1127.0
8,r4.2xlarge,24,73358.0,16000,5,100000000,7,711.0
8,r4.xlarge,16,261913.0,13200,15,175000000,7,681.0
2,r4.2xlarge,64,371704.0,18600,5,100000000,7,708.0
2,r4.2xlarge,8,389022.0,13200,5,175000000,3,584.0
2,r4.2xlarge,96,612267.0,18600,15,100000000,7,1200.0
4,r4.2xlarge,96,408528.0,18600,5,175000000,7,1026.0
2,r4.2xlarge,32,365092.0,18600,5,175000000,7,1117.0
6,r4.xlarge,16,660323.0,18600,5,100000000,7,1052.0
8,r4.xlarge,16,420052.0,18600,5,175000000,7,682.0
8,r4.2xlarge,24,359696.0,16000,15,175000000,7,1051.0
4,r4.2xlarge,96,445202.0,18600,15,100000000,7,190.0
4,r4.xlarge,16,419211.0,18600,5,100000000,5,1585.0
2,r4.2xlarge,24,601789.0,13200,15,175000000,5,600.0
8,r4.2xlarge,16,611151.0,18600,5,100000000,5,703.0
2,r4.xlarge,16,369903.0,16000,5,175000000,7,171.0
8,r4.2xlarge,16,397913.0,18600,5,100000000,7,123.0
8,r4.2xlarge,96,260554.0,18600,5,175000000,7,231.0
8,r4.2xlarge,32,403743.0,13200,5,100000000,7,131.0
2,r4.2xlarge,64,636260.0,18600,5,175000000,7,1082.0
4,r4.2xlarge,8,604442.0,18600,5,100000000,7,1075.0
8,r4.2xlarge,16,375633.0,18600,5,100000000,7,557.0
4,r4.2xlarge,96,179981.0,18600,5,100000000,7,1145.0
4,r4.2xlarge,8,636427.0,13200,5,100000000,5,246.0
2,r4.2xlarge,16,396121.0,18600,5,100000000,5,1160.0
6,r4.2xlarge,40,328829.0,18600,5,100000000,7,1108.0
2,r4.xlarge,40,334379.0,18600,5,100000000,7,664.0
8,r4.2xlarge,96,410118.0,18600,5,100000000,7,1024.0
2,r4.2xlarge,96,654162.0,18600,5,175000000,7,1033.0
6,r4.2xlarge,16,660795.0,18600,5,100000000,7,591.0
4,r4.2xlarge,16,312471.0,18600,5,175000000,7,657.0
8,r4.2xlarge,16,393717.0,18600,5,100000000,3,277.0
8,r4.2xlarge,8,407319.0,18600,5,175000000,5,174.0
8,r4.2xlarge,8,77723.0,10500,15,100000000,5,737.0
2,r4.2xlarge,16,245480.0,18600,5,175000000,7,704.0
6,r4.2xlarge,24,620281.0,18600,5,175000000,3,254.0
6,r4.2xlarge,16,101327.0,18600,5,175000000,7,169.0
6,r4.2xlarge,96,182108.0,16000,5,175000000,7,120.0
8,r4.2xlarge,16,370290.0,18600,5,100000000,7,1201.0
4,r4.2xlarge,96,475014.0,10500,5,100000000,7,731.0
2,r4.2xlarge,96,261044.0,18600,5,100000000,7,185.0
4,r4.2xlarge,24,326012.0,18600,5,100000000,3,287.0
8,r4.2xlarge,16,323298.0,18600,15,100000000,7,1187.0
2,r4.2xlarge,16,598990.0,16000,5,175000000,7,617.0
8,r4.2xlarge,96,233728.0,16000,5,175000000,5,652.0
6,r4.2xlarge,16,405118.0,18600,5,175000000,3,614.0
6,r4.2xlarge,16,657659.0,18600,5,175000000,7,1141.0
8,r4.2xlarge,24,458310.0,18600,5,100000000,7,744.0
6,r4.2xlarge,32,382508.0,18600,15,175000000,7,314.0
8,r4.xlarge,96,487693.0,16000,5,100000000,7,260.0
4,r4.2xlarge,16,624877.0,18600,5,100000000,3,162.0
8,r4.2xlarge,16,365176.0,18600,5,175000000,7,3637.0
8,r4.2xlarge,16,432890.0,10500,5,100000000,3,315.0
8,r4.2xlarge,16,123701.0,18600,5,100000000,7,618.0
4,r4.2xlarge,8,599122.0,18600,5,175000000,7,1644.0
8,r4.xlarge,16,169202.0,10500,15,100000000,7,208.0
8,r4.2xlarge,96,364313.0,18600,5,100000000,5,309.0
2,r4.2xlarge,16,397013.0,13200,5,100000000,7,1209.0
2,r4.2xlarge,16,257065.0,18600,5,175000000,7,275.0
8,r4.2xlarge,96,407591.0,18600,5,100000000,3,1585.0
8,r4.2xlarge,64,401891.0,18600,5,100000000,7,128.0
6,r4.2xlarge,24,435043.0,18600,5,100000000,5,95.0
8,r4.2xlarge,96,384962.0,18600,5,100000000,7,227.0
8,r4.2xlarge,16,428996.0,18600,5,100000000,5,1144.0
6,r4.2xlarge,24,547643.0,18600,5,175000000,5,1641.0
8,r4.xlarge,16,560932.0,16000,5,175000000,7,656.0
8,r4.2xlarge,16,446906.0,10500,5,175000000,7,696.0
8,r4.2xlarge,16,415753.0,13200,5,100000000,7,685.0
8,r4.2xlarge,16,419266.0,18600,5,175000000,7,586.0
8,r4.2xlarge,16,188661.0,16000,5,100000000,3,238.0
2,r4.2xlarge,96,421926.0,18600,5,100000000,7,1205.0
8,r4.2xlarge,16,631032.0,18600,5,175000000,5,1011.0
4,r4.2xlarge,24,421561.0,18600,5,100000000,5,694.0
2,r4.2xlarge,96,628189.0,18600,15,175000000,7,1123.0
6,r4.2xlarge,96,235665.0,18600,5,175000000,5,1070.0
2,r4.2xlarge,64,179613.0,18600,5,100000000,7,717.0
8,r4.xlarge,16,416584.0,18600,5,100000000,7,989.0
2,r4.xlarge,24,189352.0,10500,5,175000000,7,739.0
8,r4.2xlarge,16,546878.0,18600,5,100000000,7,276.0
4,r4.2xlarge,16,255289.0,18600,5,175000000,7,1094.0
4,r4.xlarge,16,409536.0,18600,5,100000000,3,1011.0
2,r4.xlarge,64,550373.0,10500,5,100000000,7,195.0
2,r4.2xlarge,32,559262.0,18600,5,100000000,7,1117.0
4,r4.2xlarge,96,423275.0,16000,5,100000000,7,3720.0
8,r4.2xlarge,96,653392.0,10500,15,175000000,5,1095.0
2,r4.2xlarge,8,396508.0,18600,5,100000000,5,713.0
8,r4.2xlarge,32,301955.0,18600,5,100000000,5,1192.0
8,r4.xlarge,40,312855.0,10500,5,100000000,3,219.0
6,r4.xlarge,96,472137.0,10500,5,100000000,7,1171.0
4,r4.2xlarge,8,365152.0,18600,5,100000000,7,558.0
2,r4.2xlarge,32,391799.0,18600,5,175000000,7,1177.0
8,r4.xlarge,16,126186.0,10500,5,175000000,7,746.0
2,r4.2xlarge,8,306009.0,13200,5,100000000,5,131.0
2,r4.2xlarge,40,611491.0,18600,5,100000000,7,725.0
6,r4.2xlarge,96,557877.0,18600,5,175000000,7,730.0
2,r4.2xlarge,96,465689.0,13200,5,175000000,3,1182.0
2,r4.2xlarge,8,116055.0,13200,15,175000000,7,209.0
2,r4.2xlarge,16,98822.0,18600,5,100000000,7,1122.0
2,r4.2xlarge,8,339032.0,18600,5,100000000,7,140.0
2,r4.2xlarge,16,424345.0,10500,5,100000000,7,1144.0
2,r4.2xlarge,16,599663.0,18600,5,175000000,5,1077.0
2,r4.2xlarge,16,364156.0,10500,5,175000000,3,99.0
