	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
42	2	m4.2xlarge	41	318172	15614	100	190456758	0.56	143
43	2	r4.2xlarge	17	153027	15451	100	154498495	0.73	196
44	3	m4.2xlarge	96	392291	15872	100	177723294	0.54	48
45	12	r4.2xlarge	17	128244	10849	100	151336099	0.53	271
46	6	m4.2xlarge	39	87241	15400	100	120534371	0.47	141
47	3	c4.2xlarge	39	205569	13042	100	148731806	1.0	234
48	8	c4.2xlarge	63	104679	15141	100	200000000	0.68	121
49	3	m4.2xlarge	95	335948	14978	100	147155073	0.49	103
50	4	r4.2xlarge	69	264095	15504	100	145447737	0.48	76
51	9	c4.2xlarge	70	268819	14995	100	146889071	1.0	108
52	2	m4.2xlarge	54	178380	15330	100	148987437	0.52	40
53	5	m4.2xlarge	69	175429	15622	100	199777028	0.67	63
54	5	c4.2xlarge	60	355388	15508	100	198269525	0.74	99
55	3	m4.2xlarge	63	151273	15387	100	144478926	0.56	252
56	3	r4.2xlarge	46	118802	15778	100	152327425	0.46	78
57	2	m4.2xlarge	16	353783	15373	100	147096220	1.0	181
58	11	c4.2xlarge	19	302254	15578	100	152050306	0.44	132
59	11	m4.2xlarge	69	308998	10608	100	147619719	0.49	88
60	6	m4.2xlarge	30	257330	15364	100	150158025	0.75	40
61	4	r4.2xlarge	58	275301	14980	100	146336434	1.0	230
62	6	c4.2xlarge	66	197641	20025	100	148890990	0.03	62
63	5	m4.2xlarge	96	161058	15588	100	180503148	0.51	75
64	3	c4.2xlarge	52	79946	15329	100	147956016	0.79	40
65	4	m4.2xlarge	66	732000	14918	100	150123556	0.31	160
66	4	m4.2xlarge	18	99628	15469	100	146492247	0.83	108
67	2	c4.2xlarge	92	269274	15487	100	146952867	0.47	109
68	3	m4.2xlarge	26	113846	14855	100	148587552	0.51	108
69	5	m4.2xlarge	26	263507	13620	100	141654681	0.87	189
70	7	m4.2xlarge	22	178381	14896	100	181438452	0.46	84
71	2	m4.2xlarge	72	732000	15146	100	154542476	0.49	98
72	2	m4.2xlarge	30	155737	15265	100	148875283	0.71	108
73	7	m4.2xlarge	16	134112	15078	100	149630563	0.52	56
74	6	m4.2xlarge	73	732000	20200	100	147169695	0.72	83
75	10	r4.2xlarge	17	732000	11504	100	148513359	0.51	84
76	7	m4.2xlarge	16	401979	20200	100	142628841	0.56	68
77	12	r4.2xlarge	65	369675	15560	100	149215388	0.02	102
78	12	m4.2xlarge	27	106406	14637	100	196205009	0.5	128
79	10	m4.2xlarge	96	99967	16012	100	144395147	0.55	101
80	2	m4.2xlarge	70	381058	17803	100	150213624	0.56	106
81	2	m4.2xlarge	67	395752	15395	100	151750649	0.56	146
82	2	m4.2xlarge	16	98466	15702	100	153448533	0.53	64
83	2	m4.2xlarge	96	142348	13592	100	149388331	0.99	96
84	7	c4.2xlarge	96	281658	14724	100	146273378	0.54	40
85	4	c4.2xlarge	27	204970	15795	100	148616621	0.07	98
86	8	m4.2xlarge	70	421191	15257	100	194764349	0.5	56
87	4	r4.2xlarge	63	490242	10678	100	151691031	0.07	85
88	8	m4.2xlarge	38	414277	15454	100	125261046	1.0	40
89	10	r4.2xlarge	16	59782	10489	100	127195455	0.45	128
90	4	c4.2xlarge	83	125258	15649	100	146916154	0.55	262
91	8	m4.2xlarge	49	30000	15546	100	143373375	0.04	40
92	8	c4.2xlarge	67	315512	15654	100	153400801	0.46	40
93	4	m4.2xlarge	96	398445	15312	100	192200100	1.0	49
94	11	c4.2xlarge	21	152922	14838	100	142257654	0.5	285
95	2	c4.2xlarge	26	108774	14900	100	148985075	0.5	79
96	8	m4.2xlarge	56	284771	14707	100	146996662	0.51	40
97	4	m4.2xlarge	88	139964	15625	100	199862388	0.01	154
98	8	m4.2xlarge	83	271139	15789	100	148028700	0.82	40
99	9	c4.2xlarge	17	732000	15588	100	150271053	0.98	67
100	9	c4.2xlarge	32	143916	15666	100	146393661	0.56	98
101	2	c4.2xlarge	61	87266	15169	100	145841265	0.21	40
102	6	m4.2xlarge	38	340298	14747	100	147565659	0.49	109
103	12	r4.2xlarge	16	381325	15594	100	153111170	0.53	186
104	10	m4.2xlarge	18	732000	15272	100	155350056	0.53	116
105	10	c4.2xlarge	16	108345	15858	100	150177568	0.8	40
106	5	m4.2xlarge	19	415752	10100	100	151083440	0.55	40
107	2	m4.2xlarge	96	689358	15435	100	100000000	0.56	102
108	4	m4.2xlarge	16	279188	18472	100	123935030	0.24	128
109	6	m4.2xlarge	28	160190	15410	100	173540424	0.77	208
110	8	c4.2xlarge	96	267463	10152	100	151143268	0.49	77
111	5	c4.2xlarge	21	122963	15844	100	122052244	0.56	119
112	8	r4.2xlarge	23	122112	17219	100	147088214	0.8	190
113	4	m4.2xlarge	50	331524	10243	100	200000000	0.44	70
114	7	r4.2xlarge	16	356944	15392	100	123774779	0.7	114
115	2	m4.2xlarge	96	321700	17928	100	122761646	0.55	58
116	9	m4.2xlarge	71	201885	17624	100	100000000	0.49	46
117	4	r4.2xlarge	63	732000	15254	100	149762812	0.51	196
118	7	m4.2xlarge	65	149091	17326	100	100000000	0.0	292
119	2	r4.2xlarge	16	128256	15825	100	152909394	0.49	175
120	2	r4.2xlarge	16	154729	10143	100	191815725	0.56	97
121	10	m4.2xlarge	60	346978	15433	100	122560838	0.72	44
122	2	c4.2xlarge	20	85870	14855	100	198624640	0.53	54
123	2	c4.2xlarge	96	417469	10100	100	147628468	1.0	128
124	4	m4.2xlarge	51	132716	15265	100	143247793	0.57	206
125	2	m4.2xlarge	36	329870	14989	100	143751603	0.53	84
126	2	m4.2xlarge	25	331863	13738	100	123809413	0.27	76
127	6	c4.2xlarge	63	287842	10187	100	148240301	0.33	76
128	5	c4.2xlarge	69	225276	15294	100	153589598	0.57	132
129	4	m4.2xlarge	33	103999	14950	100	148156006	0.06	208
130	12	m4.2xlarge	64	266104	11807	100	191949258	0.51	107
131	6	m4.2xlarge	28	132322	20200	100	146032333	0.05	122
132	12	m4.2xlarge	96	286769	15678	100	151347631	0.49	222
133	10	c4.2xlarge	64	203689	14668	100	145492450	0.45	43
134	8	m4.2xlarge	24	141927	14889	100	150080880	0.0	95
135	12	m4.2xlarge	70	76440	15202	100	147658669	0.54	147
136	9	c4.2xlarge	20	203442	14991	100	147086446	0.22	220
137	12	c4.2xlarge	72	69962	15350	100	107936713	0.5	169
138	6	m4.2xlarge	16	277651	15049	100	150712507	0.78	66
139	8	m4.2xlarge	60	106950	15406	100	144506733	0.0	123
140	2	m4.2xlarge	27	717018	10735	100	145038575	0.04	52
141	6	m4.2xlarge	50	732000	15469	100	146773379	0.51	40
142	10	c4.2xlarge	68	338338	15651	100	148405140	0.48	213
143	6	c4.2xlarge	96	285974	17499	100	145033323	0.56	79
144	10	m4.2xlarge	68	93927	10628	100	148336476	1.0	57
145	3	r4.2xlarge	90	240426	15551	100	149387362	0.51	105
146	7	c4.2xlarge	39	306293	11010	100	100000000	0.47	170
147	3	c4.2xlarge	50	251786	14830	100	149587509	0.46	236
148	6	c4.2xlarge	66	42070	15545	100	148931557	0.54	170
149	8	c4.2xlarge	36	340520	15040	100	149613686	0.48	40
150	8	r4.2xlarge	34	358918	18535	100	147228284	0.55	112
151	11	m4.2xlarge	96	91247	15355	100	145101895	0.5	122
152	12	c4.2xlarge	68	196431	15479	100	145690599	1.0	40
153	5	r4.2xlarge	56	104834	15423	100	149426710	0.48	63
154	6	m4.2xlarge	96	114728	15659	100	144454821	0.12	102
155	11	c4.2xlarge	83	732000	14660	100	152446352	0.0	40
156	8	m4.2xlarge	49	273391	15133	100	197150401	0.53	224
157	4	r4.2xlarge	34	275299	15695	100	146743562	0.43	294
158	12	c4.2xlarge	67	259886	15770	100	144267616	0.51	223
159	6	c4.2xlarge	33	712128	14863	100	152524569	0.45	82
160	9	r4.2xlarge	87	123804	14813	100	152645647	0.56	43
161	2	c4.2xlarge	82	97148	14941	100	200000000	0.5	98
162	2	r4.2xlarge	58	261652	19869	100	155553614	0.51	91
163	10	m4.2xlarge	28	62701	14930	100	154860294	0.5	202
164	7	c4.2xlarge	66	76736	14866	100	150655137	0.26	65
165	2	c4.2xlarge	79	255364	15160	100	154450382	0.04	124
166	12	m4.2xlarge	96	99962	15068	100	192184292	0.49	162
167	12	r4.2xlarge	68	332691	15418	100	100708608	1.0	240
168	5	c4.2xlarge	96	123783	12755	100	144213489	0.52	148
169	5	c4.2xlarge	29	341955	14834	100	151437900	0.49	63
170	10	m4.2xlarge	20	93378	17622	100	152903350	0.75	78
171	11	m4.2xlarge	47	52133	10100	100	146732714	1.0	253
172	4	r4.2xlarge	63	282384	15166	100	200000000	0.55	124
173	3	m4.2xlarge	25	411722	15329	100	146770870	0.86	56
174	8	c4.2xlarge	16	686547	18820	100	149355875	0.52	103
175	11	c4.2xlarge	72	72470	18134	100	147860900	0.55	202
176	8	c4.2xlarge	70	61027	15091	100	149553558	0.51	54
177	8	c4.2xlarge	64	185820	15286	100	143381045	0.49	121
178	10	m4.2xlarge	67	119483	15662	100	148989372	0.52	131
179	2	m4.2xlarge	68	354107	15089	100	149545008	0.74	150
180	2	m4.2xlarge	95	273803	20200	100	100000000	0.54	124
181	9	m4.2xlarge	69	322637	15520	100	149818216	0.74	162
182	6	c4.2xlarge	69	377667	15407	100	144520478	0.11	82
183	10	m4.2xlarge	69	252503	15465	100	171574935	0.91	145
184	5	m4.2xlarge	20	397070	15767	100	143063915	0.55	80
185	9	c4.2xlarge	87	420295	12960	100	100000000	0.5	61
186	11	r4.2xlarge	66	323981	15884	100	149130061	0.51	135
187	12	r4.2xlarge	16	90039	15182	100	149994490	0.53	166
188	3	c4.2xlarge	69	113377	15115	100	152851382	1.0	40
189	6	r4.2xlarge	83	97700	10580	100	147943812	0.54	162
190	4	m4.2xlarge	18	346906	15373	100	152583559	0.09	132
191	11	r4.2xlarge	36	103744	15585	100	144748598	0.68	41
192	6	c4.2xlarge	77	334552	10262	100	147386858	0.47	40
193	2	m4.2xlarge	37	278555	14844	100	147254605	0.77	60
194	7	r4.2xlarge	69	732000	10328	100	148394506	0.46	146
195	6	m4.2xlarge	28	115636	15058	100	143628900	0.98	112
196	10	c4.2xlarge	22	278459	10938	100	150091839	1.0	229
197	2	c4.2xlarge	91	159601	15614	100	125095772	0.53	53
198	5	r4.2xlarge	22	273971	15576	100	148865704	0.47	164
199	11	r4.2xlarge	91	717434	15800	100	153169042	0.96	165
