	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
108	3	m4.2xlarge	20	260423	17465	100	199999999	1.0	274
109	2	m4.2xlarge	62	60000	11771	100	165023188	0.86	69
110	7	r4.2xlarge	17	60002	18994	100	172976883	0.74	199
111	9	r4.2xlarge	29	186369	14672	100	189714733	0.3	95
112	11	m4.2xlarge	23	212290	10864	100	131533858	1.0	113
113	12	c4.2xlarge	17	60000	17050	100	183341919	0.91	160
114	2	m4.2xlarge	96	254885	11268	100	178967518	0.5	128
115	11	m4.2xlarge	78	340254	13545	100	107565750	0.87	76
116	2	m4.2xlarge	45	101974	10864	100	195810000	0.85	202
117	11	m4.2xlarge	17	176432	20200	100	158181704	0.99	123
118	12	m4.2xlarge	25	80246	11054	100	142638360	0.0	193
119	3	c4.2xlarge	17	432903	16129	100	200000000	0.61	78
120	12	r4.2xlarge	96	60000	11882	100	127995843	0.99	94
121	12	m4.2xlarge	31	497595	13055	100	107565739	0.12	105
122	5	m4.2xlarge	88	66498	14388	100	173880056	0.95	116
123	12	c4.2xlarge	96	732000	10864	100	195932659	0.0	351
124	12	m4.2xlarge	43	300198	11701	100	107565738	0.63	317
125	8	m4.2xlarge	96	119933	12866	100	107565734	0.2	241
126	2	m4.2xlarge	22	191007	13223	100	188009719	1.0	200
127	7	m4.2xlarge	96	104715	16042	100	107565880	0.47	188
128	8	r4.2xlarge	27	181991	10864	100	200000000	0.93	302
129	11	m4.2xlarge	96	190155	11802	100	200000000	0.66	114
130	11	m4.2xlarge	81	302928	17290	100	199999894	0.74	89
131	4	m4.2xlarge	48	186008	10864	100	164331109	0.55	161
132	9	c4.2xlarge	17	337377	13330	100	137830683	0.0	134
133	12	r4.2xlarge	17	154522	10864	100	184242446	0.26	265
134	3	m4.2xlarge	49	180356	13443	100	200000000	0.98	146
135	8	c4.2xlarge	39	184560	17523	100	158365818	1.0	45
136	2	r4.2xlarge	96	114890	12669	100	180443248	0.59	202
137	9	m4.2xlarge	17	60000	13186	100	129052348	0.0	264
138	2	m4.2xlarge	17	285045	16151	100	167161209	0.92	115
139	2	m4.2xlarge	17	243201	10864	100	189026803	0.86	158
140	2	m4.2xlarge	96	69885	16884	100	177867605	0.88	59
141	9	m4.2xlarge	21	109220	13431	100	152759899	1.0	182
142	12	c4.2xlarge	96	60887	12920	100	197412585	0.61	101
143	12	r4.2xlarge	96	246360	11529	100	139445269	0.32	293
144	2	m4.2xlarge	63	183982	16829	100	175428551	0.8	331
145	11	m4.2xlarge	50	60291	11732	100	121325075	0.1	77
146	11	m4.2xlarge	27	278358	11062	100	192105202	0.94	244
147	11	r4.2xlarge	38	194724	10864	100	157053780	0.0	187
148	4	c4.2xlarge	36	203255	14659	100	183245302	1.0	82
149	5	m4.2xlarge	41	62633	11353	100	199999509	0.0	122
150	2	m4.2xlarge	47	113831	13211	100	132851830	0.07	362
151	2	m4.2xlarge	96	222676	10864	100	107565814	0.95	94
152	2	c4.2xlarge	90	60000	15913	100	141477636	0.76	193
153	8	m4.2xlarge	40	60000	20200	100	170254789	0.82	184
154	2	m4.2xlarge	17	149200	18159	100	200000000	0.0	206
155	2	r4.2xlarge	96	60000	17254	100	130894128	1.0	121
156	2	m4.2xlarge	17	205738	10864	100	177689110	1.0	288
157	8	m4.2xlarge	27	181714	11162	100	165441821	0.0	111
158	9	m4.2xlarge	96	155063	11217	100	138530797	1.0	98
159	2	m4.2xlarge	88	264538	11518	100	151017670	0.12	144
160	10	m4.2xlarge	96	160884	15087	100	176392720	0.93	169
161	2	m4.2xlarge	17	177008	13780	100	107565734	0.62	231
162	12	m4.2xlarge	96	100645	17329	100	114166722	0.95	77
163	9	m4.2xlarge	96	216616	14795	100	200000000	0.95	42
164	8	r4.2xlarge	96	60000	11511	100	176608318	0.98	193
165	2	r4.2xlarge	17	108617	14172	100	107565738	0.6	97
166	2	m4.2xlarge	38	60000	10864	100	189057037	0.63	128
167	2	m4.2xlarge	21	120482	13043	100	107565778	1.0	122
168	2	r4.2xlarge	22	200915	10864	100	178875221	0.74	180
169	12	r4.2xlarge	96	208114	10864	100	166231078	0.32	44
170	6	m4.2xlarge	24	263722	11464	100	184878555	0.89	295
171	12	m4.2xlarge	33	60000	12313	100	190080719	0.97	200
172	2	r4.2xlarge	17	152460	12209	100	107565779	0.95	265
173	6	m4.2xlarge	96	174356	11490	100	200000000	1.0	142
174	2	r4.2xlarge	21	257447	15168	100	186627344	0.42	102
175	9	r4.2xlarge	61	202278	20200	100	126204266	0.39	135
176	2	r4.2xlarge	58	197559	17078	100	187531209	0.97	373
177	11	m4.2xlarge	18	102541	11296	100	200000000	0.93	114
178	2	m4.2xlarge	40	167331	11525	100	107565734	0.41	54
179	2	m4.2xlarge	23	78888	10864	100	107565738	0.99	61
180	2	m4.2xlarge	28	220982	11064	100	107565734	1.0	302
181	6	r4.2xlarge	17	60967	12244	100	186267296	0.8	91
182	12	r4.2xlarge	23	208342	14167	100	174695746	0.97	83
183	2	m4.2xlarge	20	354863	16408	100	107565734	0.82	69
184	8	m4.2xlarge	17	241972	19414	100	107566562	0.15	95
185	3	m4.2xlarge	70	127587	18342	100	152640985	0.0	351
186	5	m4.2xlarge	85	60000	13096	100	114208408	0.0	186
187	3	m4.2xlarge	52	240064	11161	100	133927337	0.92	241
188	2	r4.2xlarge	62	403326	13501	100	189095804	0.98	144
189	11	m4.2xlarge	17	60000	12068	100	186790933	0.55	188
190	8	m4.2xlarge	17	293588	14073	100	181757475	0.49	198
191	2	m4.2xlarge	19	164686	16903	100	184548169	0.91	104
192	12	c4.2xlarge	96	162682	14755	100	164160012	0.95	149
193	3	m4.2xlarge	45	166782	12367	100	107565734	0.78	112
194	5	m4.2xlarge	17	173917	11699	100	183636587	1.0	108
195	11	m4.2xlarge	23	204521	11316	100	147682220	0.64	263
196	3	r4.2xlarge	96	347781	13885	100	107565734	0.58	95
197	2	r4.2xlarge	42	124807	12762	100	194845540	0.71	90
198	12	m4.2xlarge	50	184940	15521	100	200000000	0.83	358
199	2	m4.2xlarge	17	194684	20199	100	189054178	0.53	87
