	instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
78	6	r4.2xlarge	50	337248	16678	9	100000000	4	1161
79	9	r4.2xlarge	70	543247	17931	10	100000000	4	94
80	7	r4.2xlarge	59	359323	18964	9	107617379	8	463
81	9	r4.2xlarge	72	532672	12801	5	176944937	3	94
82	12	r4.2xlarge	96	732000	23823	11	109487232	9	94
83	6	r4.2xlarge	47	366856	20660	5	197586420	3	1648
84	12	r4.2xlarge	96	729800	16480	5	166586196	8	472
85	9	r4.2xlarge	62	403033	22097	7	162657795	3	420
86	9	r4.2xlarge	78	522805	24366	14	100000000	5	94
87	12	r4.2xlarge	96	732000	20108	6	171277205	8	94
88	10	r4.2xlarge	84	602105	14436	6	115375700	6	420
89	4	r4.2xlarge	37	247362	21990	5	200000000	5	523
90	12	r4.2xlarge	96	732000	13335	7	100000000	5	94
91	10	r4.2xlarge	79	585161	14705	7	104533245	9	1027
92	3	r4.2xlarge	28	225593	16089	5	165830706	6	808
93	12	r4.2xlarge	96	725972	16064	6	129986736	7	94
94	9	r4.2xlarge	73	502061	8000	5	158332471	9	94
95	12	r4.2xlarge	96	732000	20197	9	116121986	6	94
96	5	r4.2xlarge	32	257541	8000	5	164658044	5	374
97	7	r4.2xlarge	54	420982	13502	5	196466113	3	1250
98	12	r4.2xlarge	96	732000	21517	10	107490737	4	94
99	6	r4.2xlarge	48	464755	26883	11	141488667	7	94
100	11	r4.2xlarge	87	634238	11331	6	100000000	6	94
101	7	r4.2xlarge	65	492350	24976	11	123699029	7	1091
102	6	r4.2xlarge	44	283583	11767	5	200000000	3	1344
103	7	r4.2xlarge	56	451726	19554	9	109277152	9	328
104	5	r4.2xlarge	40	323903	15904	5	159997315	8	924
105	3	r4.2xlarge	31	223085	28566	9	182326078	9	1244
106	3	r4.2xlarge	26	137415	26838	9	171538003	7	1973
107	6	r4.2xlarge	48	341241	15277	5	146231874	9	517
108	9	r4.2xlarge	62	566235	11910	5	121293056	5	94
109	4	r4.2xlarge	31	230368	17144	7	132972472	9	1364
110	7	r4.2xlarge	64	442917	21442	9	140020444	8	512
111	9	r4.2xlarge	75	525459	21868	10	117762700	6	179
112	12	r4.2xlarge	91	644026	8000	5	130268616	4	94
113	7	r4.2xlarge	55	429552	19504	12	100000000	6	236
114	2	r4.2xlarge	8	61000	21997	9	136006036	8	1492
115	8	r4.2xlarge	58	480023	17306	8	107304611	6	514
116	6	r4.2xlarge	39	295822	8000	5	175728635	4	1329
117	12	r4.2xlarge	90	706885	18805	6	149409293	5	94
118	12	r4.2xlarge	86	648084	12297	5	119232674	6	94
119	12	r4.2xlarge	96	721684	18969	9	106669715	8	94
120	9	r4.2xlarge	76	527388	8747	5	143516820	5	94
121	10	r4.2xlarge	79	520582	30500	15	100000000	7	94
122	8	r4.2xlarge	75	567564	20474	7	163501133	6	142
123	9	r4.2xlarge	69	573610	15913	5	195296032	8	653
124	7	r4.2xlarge	50	413755	13833	5	124550676	4	188
125	2	r4.2xlarge	8	85027	11688	5	129013171	6	353
126	6	r4.2xlarge	47	398149	25403	13	100000000	6	802
127	4	r4.2xlarge	31	193285	15141	5	195726576	6	126
128	5	r4.2xlarge	33	257025	10093	6	100000000	6	225
129	2	r4.2xlarge	26	205669	22394	9	139883660	9	1993
130	10	r4.2xlarge	81	593836	16795	7	124834111	7	94
131	7	r4.2xlarge	59	453022	27123	12	113073586	6	94
132	7	r4.2xlarge	52	424449	14632	8	100000000	3	94
133	7	r4.2xlarge	56	448472	20770	9	129843231	3	684
134	12	r4.xlarge	88	633551	27035	13	114889846	4	94
135	11	r4.2xlarge	90	587049	30191	10	192884713	7	1259
136	4	r4.2xlarge	24	86333	17862	9	102586508	3	600
137	12	r4.2xlarge	96	732000	15734	6	136826644	5	94
138	12	r4.2xlarge	96	732000	11718	6	100000000	8	94
139	8	r4.2xlarge	67	533141	25946	11	134833966	9	511
140	10	r4.2xlarge	75	517476	15999	5	153924301	3	466
141	9	r4.2xlarge	76	550049	28029	9	172735454	5	94
142	9	r4.2xlarge	76	615787	8000	5	107572042	7	94
143	8	r4.2xlarge	58	455178	14041	6	106295901	6	94
144	6	r4.2xlarge	49	414590	22030	9	125771759	7	519
145	9	r4.2xlarge	82	614080	19186	7	135710875	7	94
146	6	r4.2xlarge	55	428068	16757	8	106629855	5	1151
147	3	r4.2xlarge	18	95537	19597	5	173074750	8	358
148	10	r4.2xlarge	65	494930	19888	8	129690310	8	677
149	4	r4.2xlarge	31	220571	14482	5	200000000	6	1581
150	9	r4.2xlarge	65	455736	14536	6	128340159	5	284
151	7	r4.2xlarge	63	496892	21838	9	126764968	9	730
152	2	r4.2xlarge	22	173400	19221	5	194088358	6	2264
153	2	r4.2xlarge	14	105633	22403	5	200000000	3	1878
154	12	r4.2xlarge	90	603230	12988	6	110234183	6	94
155	9	r4.2xlarge	67	524022	22368	5	200000000	6	775
156	7	r4.2xlarge	55	392263	19229	5	192288299	5	1134
157	12	r4.2xlarge	96	660730	15678	8	100000000	3	94
158	7	r4.2xlarge	56	428383	20303	7	145256159	8	94
159	8	r4.2xlarge	62	579353	21817	9	133441492	9	1041
160	11	r4.2xlarge	93	732000	20008	5	177615217	6	94
161	5	r4.2xlarge	31	240550	18937	6	160181951	4	1245
162	7	r4.2xlarge	57	354782	19054	5	181868462	7	2099
163	9	r4.2xlarge	64	438867	20118	9	112484240	9	486
164	2	r4.2xlarge	8	77911	16058	7	114310219	6	1266
165	10	r4.2xlarge	78	660753	12813	5	153265612	8	94
166	8	r4.2xlarge	62	440195	30500	14	153595645	3	1440
167	5	r4.2xlarge	36	185763	30500	12	200000000	7	2123
168	5	r4.2xlarge	34	179474	12970	5	164700111	6	1745
169	11	r4.2xlarge	89	625997	24475	8	175818489	5	304
170	9	r4.2xlarge	71	518176	20353	8	138006839	7	94
171	12	r4.2xlarge	96	732000	22057	7	172241498	7	94
172	5	r4.2xlarge	39	269693	16942	7	134947952	3	1716
173	9	r4.2xlarge	65	466802	14863	5	200000000	3	1130
174	7	r4.2xlarge	56	408964	17337	10	100000000	7	94
175	7	r4.xlarge	56	339486	15620	6	142045349	3	94
176	6	r4.2xlarge	35	289979	25503	9	153043631	9	2193
177	2	r4.2xlarge	8	61000	17270	6	155572567	5	2716
178	9	r4.2xlarge	69	435814	14077	5	152060842	4	94
179	4	r4.2xlarge	25	151495	14679	5	159846372	3	489
180	7	r4.2xlarge	60	436068	16424	8	113830556	9	156
181	10	r4.2xlarge	88	599743	12627	5	132650058	7	352
182	9	r4.2xlarge	71	541834	16257	7	112745606	5	94
183	7	r4.2xlarge	48	304028	17167	6	143175658	3	1415
184	2	r4.2xlarge	18	182962	14530	5	194635341	8	94
185	11	r4.2xlarge	88	686941	15789	8	100000000	4	1090
186	5	r4.2xlarge	31	197246	12458	5	165056063	4	912
187	12	r4.2xlarge	96	732000	19801	9	107239367	3	94
188	12	r4.2xlarge	96	732000	16761	5	156799260	3	94
189	9	r4.2xlarge	79	611854	14699	5	177003956	7	492
190	2	r4.2xlarge	13	150520	21823	7	169199081	7	1347
191	8	r4.2xlarge	55	391381	20309	9	132507160	3	94
192	3	r4.2xlarge	19	61207	14277	5	189503548	6	1198
193	6	r4.2xlarge	56	460168	22136	6	192536004	5	720
194	3	r4.2xlarge	34	251399	14198	5	177358312	6	1939
195	12	r4.2xlarge	96	732000	23324	10	121417483	9	94
196	6	r4.2xlarge	51	358039	16847	8	106898090	4	346
197	9	r4.2xlarge	84	638342	22004	7	166639063	8	94
198	7	r4.2xlarge	53	406922	18297	6	152768152	6	404
199	9	r4.2xlarge	56	472154	29563	10	198305737	3	1821
