	instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
145	2	r4.2xlarge	20	337136	30443	5	154033125	9	429
146	9	r4.2xlarge	28	181397	19112	5	153790034	3	346
147	3	r4.2xlarge	92	536834	28020	5	153931995	3	332
148	6	r4.2xlarge	48	379568	14603	5	154018206	3	280
149	7	r4.xlarge	36	309149	29606	5	104017130	3	231
150	8	r4.2xlarge	24	155631	20855	5	100000000	5	344
151	11	r4.2xlarge	34	350383	8062	5	156373449	3	304
152	12	r4.xlarge	96	324184	15507	5	100000000	5	178
153	12	r4.2xlarge	33	356151	26902	5	100000000	3	493
154	11	r4.2xlarge	26	346298	12342	11	156600682	9	205
155	12	r4.xlarge	96	609619	14775	5	105504712	3	237
156	8	r4.2xlarge	96	147031	27146	5	179880605	3	375
157	11	r4.2xlarge	87	100038	19585	5	100000000	3	4556
158	11	m4.2xlarge	23	397984	27844	5	184149154	3	313
159	8	r4.xlarge	35	619208	27311	5	108428476	7	321
160	9	r4.xlarge	88	420345	15357	5	107168307	3	303
161	7	r4.2xlarge	78	348318	15237	5	119966628	8	230
162	2	m4.2xlarge	63	642610	15998	5	155473803	8	427
163	12	m4.2xlarge	29	449324	15121	5	100000000	3	391
164	8	r4.xlarge	26	338207	30153	15	102734382	3	351
165	2	m4.2xlarge	34	437929	16014	5	100000000	9	94
166	11	r4.2xlarge	95	334347	17407	5	103023041	7	295
167	11	r4.xlarge	96	525191	16090	15	186009415	5	241
168	6	m4.2xlarge	96	245735	15534	5	100451581	3	250
169	4	r4.xlarge	41	310644	15566	5	132774471	3	310
170	8	r4.xlarge	13	306972	15395	5	158933122	3	232
171	12	r4.2xlarge	92	583423	14923	6	109331980	3	276
172	10	m4.2xlarge	96	211670	15216	5	200000000	7	110
173	4	r4.2xlarge	9	61000	21192	5	103712551	3	253
174	7	m4.2xlarge	20	419315	14975	5	107367713	3	236
175	11	m4.2xlarge	36	534274	10862	5	154992112	3	105
176	2	m4.2xlarge	41	69958	15267	5	106990195	9	298
177	8	r4.2xlarge	20	70401	21597	5	100156514	3	312
178	4	m4.2xlarge	45	61000	10588	5	156565876	3	392
179	2	m4.2xlarge	46	193406	17511	5	109057109	3	235
180	3	r4.xlarge	63	81195	15502	5	105635668	5	271
181	6	r4.2xlarge	76	127281	16256	5	105370400	3	972
182	6	r4.xlarge	33	300926	14979	5	105866211	3	250
183	10	m4.2xlarge	18	314637	18406	5	151745976	9	462
184	5	r4.2xlarge	25	197778	16238	5	156031711	3	197
185	3	r4.xlarge	27	549007	29538	5	154827913	3	433
186	8	m4.2xlarge	44	233754	30500	5	159256145	3	541
187	11	m4.2xlarge	19	321655	8163	6	158006107	3	204
188	11	m4.2xlarge	30	418351	15759	5	151066040	3	266
189	12	r4.xlarge	96	477404	15330	5	157739644	3	412
190	4	r4.2xlarge	15	190539	14670	5	130821524	3	354
191	8	m4.2xlarge	27	61000	17199	5	107242702	9	612
192	10	m4.2xlarge	95	214463	14929	5	106278309	3	401
193	2	r4.xlarge	38	373926	26739	5	152564911	7	141
194	8	r4.2xlarge	77	80846	16065	5	142079159	4	466
195	8	m4.2xlarge	8	201520	15916	5	102963715	3	397
196	9	m4.2xlarge	10	99904	9380	15	104892881	3	256
197	2	r4.xlarge	87	137932	17297	5	105566185	3	326
198	5	r4.2xlarge	11	353036	14618	5	102252643	7	246
199	11	r4.2xlarge	75	61000	12631	5	104889790	3	227
