	instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
48	4	r4.2xlarge	32	240912	15971	5	149893321	3	501
49	6	r4.2xlarge	48	247393	13693	5	124951766	7	244
50	12	r4.2xlarge	96	732000	13330	5	125330403	3	125
51	8	r4.2xlarge	64	366215	16226	5	199499207	3	189
52	6	r4.2xlarge	48	369317	16068	5	149775302	3	229
53	8	r4.2xlarge	64	487762	20907	5	199341989	3	193
54	4	r4.2xlarge	32	250018	15884	5	149950054	3	398
55	8	r4.2xlarge	16	128660	15950	5	149943052	3	235
56	8	r4.2xlarge	64	487647	19198	5	175021186	5	214
57	8	r4.2xlarge	64	487325	10241	5	100000000	7	137
58	6	r4.2xlarge	48	363203	10345	5	100130628	9	267
59	6	r4.2xlarge	48	365152	20459	10	100186209	3	170
60	10	r4.2xlarge	80	616684	13649	5	124834877	5	194
61	2	r4.2xlarge	16	118772	15954	5	150209590	3	515
62	8	r4.2xlarge	64	492599	16036	5	149798440	3	226
63	6	r4.2xlarge	48	247640	20819	5	199647235	3	274
64	4	r4.2xlarge	32	237373	16100	5	149973281	3	551
65	8	r4.2xlarge	64	366880	16304	5	149852833	3	285
66	10	r4.2xlarge	80	608324	10054	5	100129108	3	179
67	8	r4.2xlarge	64	488407	10520	5	100170130	5	182
68	4	r4.2xlarge	32	245970	13043	5	125120759	5	508
69	4	r4.2xlarge	32	245396	18835	5	125029675	9	251
70	2	r4.2xlarge	16	120187	16044	5	150058251	3	407
71	4	r4.2xlarge	32	245203	15961	5	149739096	7	354
72	10	r4.2xlarge	80	606124	20599	5	100149069	9	212
73	8	r4.2xlarge	64	490103	18905	5	174846490	9	287
74	6	r4.2xlarge	48	366270	16123	5	149877439	3	198
75	10	r4.2xlarge	80	610867	20634	10	100140670	3	144
76	8	r4.2xlarge	64	488201	20480	10	100033543	9	289
77	6	r4.2xlarge	48	366240	12968	5	125270733	3	224
78	10	r4.2xlarge	80	608384	20980	10	100202273	9	215
79	12	r4.2xlarge	96	732000	16016	5	149886446	3	110
80	4	r4.2xlarge	32	247800	16116	5	100017765	3	193
81	6	r4.2xlarge	48	363295	11034	5	100000000	3	193
82	10	r4.2xlarge	80	612202	13190	5	149984387	9	267
83	8	r4.2xlarge	48	367036	16060	5	149796312	3	116
84	10	r4.2xlarge	80	602624	15788	5	149846640	3	94
85	8	r4.2xlarge	48	365639	16117	5	150013865	3	164
86	6	r4.2xlarge	48	364559	20751	5	199685648	3	185
87	8	r4.2xlarge	64	373261	15941	5	150119687	3	272
88	8	r4.2xlarge	64	489275	13222	5	100000000	9	198
89	2	r4.2xlarge	16	118754	30229	10	100000000	5	372
90	8	r4.2xlarge	48	363914	16026	5	150258891	3	238
91	8	r4.2xlarge	64	487084	20950	5	199714733	9	228
92	8	r4.2xlarge	64	122273	15904	5	150045799	3	136
93	6	r4.2xlarge	48	364820	20579	10	100129715	3	275
94	6	r4.2xlarge	48	248545	13809	5	125067674	3	207
95	4	r4.2xlarge	32	241282	16213	5	150028572	3	288
96	8	r4.2xlarge	64	487917	20492	5	100278868	9	141
97	12	r4.2xlarge	96	732000	16057	5	149890225	3	276
98	10	r4.2xlarge	80	611539	12891	5	124930940	3	94
99	12	r4.2xlarge	96	728448	21269	5	100135685	9	156
100	12	r4.2xlarge	96	728271	20572	10	100298852	3	212
101	8	r4.2xlarge	48	364648	12989	5	125139188	3	191
102	6	r4.2xlarge	48	365076	20766	10	100000000	9	269
103	8	r4.2xlarge	64	486709	20803	10	100128031	9	288
104	10	r4.2xlarge	80	615628	15917	5	174816582	5	226
105	4	r4.2xlarge	33	246874	15826	5	150052128	3	208
106	12	r4.2xlarge	96	726372	30182	15	100000000	3	313
107	2	r4.2xlarge	16	119515	20547	5	100095709	9	559
108	10	r4.2xlarge	80	611771	15896	5	149769609	3	157
109	6	r4.2xlarge	48	368074	18991	5	174874053	9	308
110	2	r4.2xlarge	16	125197	10452	5	100225192	3	1138
111	12	r4.2xlarge	96	732000	10193	5	100221078	7	95
112	6	r4.2xlarge	48	362744	21087	5	199711688	3	301
113	8	r4.2xlarge	80	485767	15944	5	124879885	3	130
114	10	r4.2xlarge	80	611849	20450	5	100000000	9	155
115	6	r4.2xlarge	48	364301	29747	15	100000000	5	235
116	12	r4.2xlarge	96	732000	10712	5	100046406	3	199
117	12	r4.2xlarge	95	728688	21034	5	100058715	7	130
118	4	r4.2xlarge	33	242531	30068	15	100000000	3	534
119	8	r4.2xlarge	64	489901	10376	5	100000000	9	244
120	12	r4.2xlarge	96	732000	10342	5	100000000	3	135
121	4	r4.2xlarge	32	246881	21083	5	199839298	3	431
122	8	r4.2xlarge	64	489651	13102	5	125016682	3	172
123	4	r4.2xlarge	32	246629	16002	5	174546494	5	174
124	4	r4.2xlarge	33	244959	11061	5	100091665	7	611
125	2	r4.2xlarge	16	125835	15967	5	100229420	3	250
126	6	r4.2xlarge	48	365987	16061	5	149920482	3	211
127	4	r4.2xlarge	32	243795	10973	5	100174450	7	429
128	4	r4.2xlarge	33	246774	20690	10	100000000	9	538
129	10	r4.2xlarge	80	604153	29846	10	100000000	3	203
130	12	r4.2xlarge	96	732000	20478	5	100312977	7	156
131	8	r4.2xlarge	64	487100	20591	5	100111265	9	217
132	8	r4.2xlarge	64	485108	21003	5	199665705	9	229
133	4	r4.2xlarge	16	122681	16103	5	150070106	3	385
134	8	r4.2xlarge	64	487518	16205	5	149969819	3	213
135	8	r4.2xlarge	48	365879	18493	5	175143655	3	260
136	8	r4.2xlarge	64	487938	10744	5	100106702	9	209
137	2	r4.2xlarge	16	118625	15979	5	149914975	3	1029
138	8	r4.2xlarge	48	365303	9920	5	100058411	7	234
139	6	r4.2xlarge	48	368656	16278	5	149906989	3	126
140	4	r4.2xlarge	32	245226	16283	5	149934041	3	206
141	8	r4.2xlarge	64	484434	13363	5	124929193	7	254
142	2	r4.2xlarge	16	126649	16090	5	149988975	3	499
143	4	r4.2xlarge	32	245596	20654	10	100125866	9	189
144	8	r4.2xlarge	64	361227	10927	5	100000000	9	201
145	10	r4.2xlarge	80	618888	16172	5	150017781	3	226
146	4	r4.2xlarge	32	246203	20249	10	100097589	3	246
147	2	r4.2xlarge	16	123052	13337	5	125085153	9	371
148	4	r4.2xlarge	32	242024	15946	5	150165022	7	535
149	6	r4.2xlarge	48	367686	10209	5	100000223	3	183
150	4	r4.2xlarge	32	244187	11212	5	100175994	7	357
151	2	r4.2xlarge	15	123581	9575	5	100000000	3	445
152	10	r4.2xlarge	80	610223	10123	5	100129546	9	207
153	10	r4.2xlarge	80	609940	18764	5	199708629	3	133
154	4	r4.2xlarge	32	245238	16029	5	149888482	5	211
155	6	r4.2xlarge	48	367453	10570	5	100000000	9	257
156	10	r4.2xlarge	80	606768	15747	5	150075365	9	153
157	6	r4.2xlarge	48	364137	13038	5	125137365	9	238
158	4	r4.2xlarge	33	247368	10181	5	100045554	9	129
159	8	r4.2xlarge	64	368185	16230	5	149856269	3	141
160	6	r4.2xlarge	48	360856	13791	5	125189823	7	274
161	2	r4.2xlarge	16	128459	15798	5	150077870	3	882
162	8	r4.2xlarge	64	486522	13590	5	125236169	9	170
163	8	r4.2xlarge	48	367291	10596	5	100288816	5	187
164	4	r4.2xlarge	32	247221	15816	5	149993273	3	203
165	8	r4.2xlarge	64	488560	18654	5	174784255	9	270
166	10	r4.2xlarge	80	611851	16042	5	149892208	3	173
167	4	r4.2xlarge	32	244404	12946	5	100108113	9	242
168	8	r4.2xlarge	64	489789	10822	5	100155716	3	151
169	8	r4.2xlarge	48	242747	9881	10	100077744	9	147
170	10	r4.2xlarge	16	128546	16075	5	149924951	3	229
171	4	r4.2xlarge	32	250129	19177	5	174908201	9	516
172	6	r4.2xlarge	48	364412	16013	5	149930870	3	200
173	6	r4.2xlarge	48	370374	16107	5	149978920	3	224
174	10	r4.2xlarge	80	610094	20475	10	100158552	9	184
175	10	r4.2xlarge	80	607148	13601	5	149860261	3	148
176	10	r4.2xlarge	80	613658	15786	5	100088150	3	142
177	6	r4.2xlarge	48	366508	15864	5	100106272	3	94
178	8	r4.2xlarge	64	489801	16039	5	150003304	5	188
179	2	r4.2xlarge	16	244626	18723	5	199540414	9	511
180	10	r4.2xlarge	80	731854	20718	10	100240173	7	228
181	2	r4.2xlarge	16	119425	11139	5	100128223	9	353
182	4	r4.2xlarge	32	243106	20657	5	149964228	7	297
183	2	r4.2xlarge	16	117019	29313	10	100000000	3	359
184	6	r4.2xlarge	48	365849	29936	15	100166801	5	244
185	6	r4.2xlarge	48	367310	13208	5	125066797	5	238
186	10	r4.2xlarge	80	613710	16217	5	149994292	3	216
187	2	r4.2xlarge	16	116803	11222	5	100241248	3	1103
188	6	r4.2xlarge	48	368402	20627	10	100000000	5	283
189	6	r4.2xlarge	48	365937	20622	5	100078863	3	145
190	8	r4.2xlarge	64	490042	18689	5	174703972	9	285
191	8	r4.2xlarge	64	486697	10595	5	100000000	9	152
192	8	r4.2xlarge	80	487266	12991	5	124857361	9	228
193	8	r4.2xlarge	64	488714	20436	10	100000000	3	286
194	6	r4.2xlarge	48	364776	16053	5	149880113	3	200
195	4	r4.2xlarge	32	241870	20325	10	100000000	3	476
196	8	r4.2xlarge	64	364046	10623	5	100211123	3	207
197	4	r4.2xlarge	32	246401	10109	5	100067013	3	356
198	10	r4.2xlarge	80	608894	16161	5	149971771	3	132
199	10	r4.2xlarge	80	613730	13314	5	124828324	9	161
