	instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
32	4	r4.2xlarge	32	235061	19344	5	200365396	25	216
33	2	r4.2xlarge	16	116858	19401	5	200207934	25	688
34	8	r4.2xlarge	64	483634	24284	5	249979776	50	152
35	4	r4.2xlarge	16	241837	9779	5	100185145	25	151
36	10	r4.2xlarge	80	353104	19430	5	200012033	25	87
37	4	r4.2xlarge	32	246721	19430	5	100149345	1	56
38	6	r4.2xlarge	48	364327	24169	5	249597414	50	59
39	4	r4.2xlarge	32	246712	19422	5	100309448	25	151
40	6	r4.2xlarge	48	365868	19330	5	200082002	25	89
41	8	r4.2xlarge	80	358515	19396	5	199998403	25	97
42	8	r4.2xlarge	64	492337	19478	5	100065398	99	123
43	4	r4.2xlarge	32	245516	24204	5	249410862	100	197
44	4	r4.2xlarge	32	367733	9829	5	100302438	50	147
45	10	r4.2xlarge	80	600132	28990	5	299174949	25	177
46	6	r4.2xlarge	48	368019	19325	5	200181182	25	56
47	6	r4.2xlarge	48	365370	24200	5	200194158	25	102
48	4	r4.2xlarge	32	234074	9734	5	150137533	1	164
49	4	r4.2xlarge	32	245270	9815	5	149980078	25	148
50	10	r4.2xlarge	80	597373	19409	5	200494591	25	90
51	2	r4.2xlarge	16	124488	24220	5	249502345	100	661
52	6	r4.2xlarge	48	369495	19475	5	100000000	100	172
53	10	r4.2xlarge	80	364440	19469	5	100000000	100	101
54	10	r4.2xlarge	80	611764	19394	5	100155174	25	84
55	4	r4.2xlarge	32	244102	29106	5	299579926	25	204
56	10	r4.2xlarge	80	364273	19561	10	100253775	1	80
57	4	r4.2xlarge	32	248255	19365	5	199943457	25	89
58	6	r4.2xlarge	48	245802	19370	5	200165961	25	155
59	4	r4.2xlarge	32	245735	9857	5	100591032	100	146
60	10	r4.2xlarge	80	620077	19428	5	199631079	25	119
61	6	r4.2xlarge	48	363272	19347	5	200592152	25	227
62	6	r4.2xlarge	48	373562	19357	5	299349345	100	222
63	4	r4.2xlarge	32	251184	9845	5	100066959	25	69
64	2	r4.2xlarge	16	97625	19447	5	100227878	25	714
65	6	r4.2xlarge	48	360192	14572	5	150199120	25	177
66	6	r4.2xlarge	48	365233	24187	5	249865247	100	144
67	10	r4.2xlarge	80	613125	19415	5	100413836	25	78
68	6	r4.2xlarge	48	250515	19339	5	200423257	100	217
69	6	r4.2xlarge	48	364820	19522	10	100000000	25	126
70	6	r4.2xlarge	48	363662	19534	10	100389424	100	141
71	8	r4.2xlarge	64	490358	29152	5	299366321	100	281
72	8	r4.2xlarge	64	484914	19537	10	100179134	1	92
73	8	r4.2xlarge	64	491844	9850	5	100368085	1	161
74	8	r4.2xlarge	64	487791	19362	5	200021739	100	165
75	10	r4.2xlarge	80	614972	19441	5	100447418	25	70
76	10	r4.2xlarge	80	364896	19352	5	199985263	25	188
77	10	r4.2xlarge	80	614549	19453	5	100533016	1	103
78	10	r4.2xlarge	80	600477	19478	5	100613661	25	114
79	2	r4.2xlarge	16	127702	19427	5	199829566	25	321
80	4	r4.2xlarge	32	250203	19404	5	249406382	100	181
81	4	r4.2xlarge	48	240599	19513	10	100000000	50	136
82	2	r4.2xlarge	16	129258	19392	5	200088122	25	635
83	6	r4.2xlarge	48	365879	19522	10	100000000	100	56
84	12	r4.2xlarge	80	606369	29363	5	100104194	50	56
85	2	r4.2xlarge	16	123041	19401	5	200129886	25	346
86	6	r4.2xlarge	48	360761	19343	5	200209926	25	103
87	2	r4.2xlarge	16	116919	19469	10	100554490	1	205
88	8	r4.2xlarge	64	492706	24142	5	249235983	50	110
89	10	r4.2xlarge	80	612163	19363	5	199761024	25	60
90	6	r4.2xlarge	48	362234	29099	5	300000000	25	182
91	10	r4.2xlarge	80	608527	9780	5	100156195	1	66
92	4	r4.2xlarge	32	234136	29009	5	300000000	25	139
93	6	r4.2xlarge	48	364572	9851	5	150701184	25	172
94	10	r4.2xlarge	80	365828	29145	5	300000000	25	185
95	2	r4.2xlarge	16	104691	29201	5	300000000	25	254
96	6	r4.2xlarge	48	363793	29089	5	300000000	25	91
97	2	r4.2xlarge	16	120877	19441	5	100156103	100	276
98	10	r4.2xlarge	80	606229	29500	15	100089871	50	66
99	2	r4.2xlarge	16	119939	19563	10	100176072	1	315
100	8	r4.2xlarge	64	484873	19447	5	100588452	25	129
101	10	r4.2xlarge	80	605699	19409	5	100467617	1	88
102	6	r4.2xlarge	48	366209	19342	5	199475079	25	158
103	8	r4.2xlarge	64	488383	19380	5	200252350	25	167
104	4	r4.2xlarge	32	255146	29364	15	100228024	100	229
105	12	r4.2xlarge	80	613403	19502	10	100559068	50	73
106	2	r4.2xlarge	16	117167	19414	5	100124952	25	267
107	6	r4.2xlarge	48	367158	19446	5	100127246	25	173
108	4	r4.2xlarge	32	254061	19438	5	249225778	100	142
109	6	r4.2xlarge	48	365612	24226	5	249876343	50	216
110	6	r4.2xlarge	48	370939	19388	5	150649416	100	233
111	12	r4.2xlarge	96	732000	19489	10	100534920	1	56
112	10	r4.2xlarge	80	603940	14548	5	150444730	100	175
113	8	r4.2xlarge	64	607426	29443	10	100000000	100	61
114	12	r4.2xlarge	96	732000	14425	5	150034106	100	71
115	8	r4.2xlarge	48	365050	19355	5	199795670	25	130
116	6	r4.2xlarge	48	365297	19541	10	100155314	25	166
117	8	r4.2xlarge	64	364982	29215	5	299199807	25	111
118	6	r4.2xlarge	48	358084	29158	5	299357647	25	233
119	4	r4.2xlarge	32	249232	19377	5	199902139	25	145
120	4	r4.2xlarge	32	237105	19358	5	199795903	25	154
121	2	r4.2xlarge	16	119306	19404	5	150286763	25	452
122	8	r4.2xlarge	64	493810	19439	5	100159826	25	124
123	8	r4.2xlarge	64	489932	19510	10	100000000	100	56
124	10	r4.2xlarge	80	611805	29556	5	100488188	100	219
125	8	r4.2xlarge	64	487648	19407	5	200322783	25	183
126	4	r4.2xlarge	32	242669	14559	5	150198992	1	143
127	6	r4.2xlarge	48	362931	19563	10	100317324	1	109
128	8	r4.2xlarge	64	490387	24209	5	249715196	100	181
129	8	r4.2xlarge	64	483730	19520	15	100000000	25	133
130	10	r4.2xlarge	80	613053	9945	10	100462128	50	106
131	4	r4.2xlarge	32	242602	19449	5	100072755	25	138
132	2	r4.2xlarge	16	112527	19335	5	200208940	25	639
133	10	r4.2xlarge	80	611511	19454	5	100310971	100	126
134	6	r4.2xlarge	48	363001	24272	5	249623949	100	171
135	2	r4.2xlarge	16	117042	19353	5	200437257	25	690
136	8	r4.2xlarge	48	366262	29421	15	100226058	25	101
137	4	r4.2xlarge	32	242736	24136	5	249847298	100	185
138	10	r4.2xlarge	80	611345	19348	5	199828909	25	140
139	6	r4.2xlarge	48	368252	19421	5	199944927	25	85
140	6	r4.2xlarge	48	242082	19368	5	299948767	25	158
141	6	r4.2xlarge	48	352870	14579	5	199860876	25	156
142	8	r4.2xlarge	80	614138	19495	15	100289834	25	160
143	8	r4.2xlarge	64	489144	9730	5	150507995	25	85
144	6	r4.2xlarge	48	357603	19508	5	100009836	100	158
145	10	r4.2xlarge	80	611356	19509	10	100211602	1	115
146	6	r4.2xlarge	48	366790	9730	5	100357155	25	169
147	12	r4.2xlarge	80	612819	29346	5	100327358	50	102
148	6	r4.2xlarge	48	362668	9792	5	100633003	25	158
149	2	r4.2xlarge	16	125942	19501	10	100098982	1	150
150	8	r4.2xlarge	64	489886	9910	5	100516161	1	56
151	10	r4.2xlarge	80	612190	19394	5	100162397	1	94
152	4	r4.2xlarge	32	245225	9841	5	100332615	1	161
153	2	r4.2xlarge	16	114800	19378	5	199969617	25	73
154	6	r4.2xlarge	48	364148	19512	10	100025904	1	80
155	2	r4.2xlarge	16	124564	19506	10	100000000	1	112
156	10	r4.2xlarge	80	602892	19364	5	200367194	25	92
157	4	r4.2xlarge	32	245000	19465	5	100339009	1	124
158	8	r4.2xlarge	64	366069	19477	10	100172921	1	56
159	6	r4.2xlarge	48	357838	19360	5	200087620	25	76
160	6	r4.2xlarge	48	359023	29189	5	300000000	25	239
161	6	r4.2xlarge	48	371034	9730	5	100495769	1	87
162	10	r4.2xlarge	80	612699	19402	5	200368810	25	56
163	6	r4.2xlarge	48	368842	24339	5	100760989	100	146
164	4	r4.2xlarge	32	248164	24118	5	249925013	100	174
165	6	r4.2xlarge	48	365305	9768	5	100040051	1	168
166	10	r4.2xlarge	80	112847	19370	5	199833798	25	125
167	10	r4.2xlarge	80	609807	19349	5	200039193	25	114
168	6	r4.2xlarge	48	369217	14626	5	100643200	1	84
169	6	r4.2xlarge	48	361356	19481	10	100299731	25	59
170	6	r4.2xlarge	48	361907	29130	5	299544506	25	209
171	2	r4.2xlarge	16	126409	19448	5	249713409	25	571
172	8	r4.2xlarge	64	363289	19505	10	100109188	25	69
173	4	r4.2xlarge	32	247909	19451	5	100232725	100	197
174	2	r4.2xlarge	16	126261	9730	5	100496267	25	132
175	8	r4.2xlarge	64	484026	29554	15	100116300	100	126
176	10	r4.2xlarge	80	612226	9822	5	100243034	50	56
177	4	r4.2xlarge	32	247168	14508	5	150488126	1	56
178	6	r4.2xlarge	48	248541	19360	5	200191149	25	106
179	12	r4.2xlarge	96	727682	19546	10	100003852	100	150
180	2	r4.2xlarge	16	111528	19369	5	200429128	25	648
181	4	r4.2xlarge	32	248171	19438	5	250152879	50	122
182	8	r4.2xlarge	64	488467	19297	5	200173029	25	174
183	8	r4.2xlarge	64	481922	14444	5	150167317	25	115
184	10	r4.2xlarge	80	613091	9831	5	100507608	50	140
185	8	r4.2xlarge	64	488899	9953	10	100028666	1	146
186	2	r4.2xlarge	16	128963	19417	5	200007996	25	163
187	2	r4.2xlarge	16	113986	19411	5	200482950	25	219
188	6	r4.2xlarge	48	375897	19327	5	200143879	25	208
189	8	r4.2xlarge	64	488905	24322	5	100475421	100	71
190	6	r4.2xlarge	48	368969	19403	5	100176189	25	170
191	6	r4.2xlarge	48	235072	19321	5	199806553	25	56
192	2	r4.2xlarge	16	120090	19365	5	199629552	25	582
193	4	r4.2xlarge	16	130121	29138	5	200146039	25	1012
194	6	r4.2xlarge	48	363588	24207	5	249739289	100	163
195	2	r4.2xlarge	16	101592	19350	5	199920276	25	612
196	2	r4.2xlarge	16	127176	19392	5	200386192	25	612
197	8	r4.2xlarge	64	488019	19380	5	199996853	25	72
198	10	r4.2xlarge	80	603252	19477	5	100463702	50	56
199	6	r4.2xlarge	48	371787	9823	5	100000000	1	74
