	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
72	10	r4.2xlarge	16	297508	378	1117263	30000000	0.0035	142
73	12	r4.2xlarge	40	343006	331	2194468	21829050	0.0001	178
74	5	r4.2xlarge	90	252791	152	2468048	23375445	0.0071	274
75	7	r4.2xlarge	79	732000	436	3000000	11171379	0.0057	199
76	10	r4.2xlarge	27	98502	287	2029616	11171379	0.01	156
77	2	m4.2xlarge	29	61725	265	2079521	20063536	0.0029	289
78	10	m4.2xlarge	87	504545	326	2390438	18654796	0.0032	354
79	8	r4.2xlarge	50	229123	142	3000000	19944073	0.0058	402
80	11	r4.2xlarge	89	732000	334	3000000	30000000	0.01	181
81	8	m4.2xlarge	75	732000	342	1884914	24799965	0.0023	235
82	11	r4.xlarge	37	182093	311	2366920	21983599	0.0068	181
83	7	m4.2xlarge	85	534381	319	2124477	20323981	0.0027	118
84	10	m4.2xlarge	67	259759	436	2430736	21390237	0.002	170
85	6	r4.2xlarge	76	582103	317	3000000	30000000	0.0004	284
86	11	r4.2xlarge	84	61725	413	2134812	30000000	0.01	302
87	8	r4.2xlarge	77	124654	151	1117263	11171379	0.0032	118
88	10	r4.2xlarge	84	353968	241	2073019	19708626	0.0001	118
89	5	r4.2xlarge	62	385673	433	1117263	30000000	0.01	125
90	10	m4.2xlarge	77	126033	309	2291733	25169387	0.0025	306
91	11	r4.2xlarge	86	449477	322	3000000	30000000	0.0014	150
92	9	r4.2xlarge	84	495021	144	1117263	17949280	0.01	202
93	5	r4.2xlarge	44	598721	142	1936640	30000000	0.006	244
94	5	m4.2xlarge	75	91404	327	2540219	18949983	0.0038	138
95	12	r4.2xlarge	84	595460	432	1117263	30000000	0.0001	207
96	2	r4.2xlarge	89	178524	238	1117263	24097070	0.01	224
97	9	r4.2xlarge	55	495854	317	3000000	11171379	0.0003	165
98	10	m4.2xlarge	84	242059	329	1992646	23759199	0.001	194
99	8	r4.xlarge	15	589408	269	2033262	30000000	0.0015	281
100	2	m4.2xlarge	61	252411	333	3000000	16562447	0.0006	191
101	11	r4.xlarge	30	96580	335	2512920	23869521	0.0007	322
102	7	m4.2xlarge	54	223575	296	2437207	23137273	0.0007	238
103	11	r4.2xlarge	89	571442	328	3000000	22181223	0.0061	402
104	11	r4.2xlarge	75	143662	144	1117263	23400944	0.01	164
105	9	m4.2xlarge	45	118447	307	2013082	21238100	0.0024	126
106	10	m4.2xlarge	43	83231	309	2429604	15077926	0.0017	211
107	11	r4.xlarge	84	486338	334	1820551	20362216	0.002	161
108	12	r4.2xlarge	96	633143	436	1117263	30000000	0.0007	263
109	8	m4.2xlarge	68	230240	301	1978657	18783548	0.0019	273
110	10	r4.2xlarge	83	140418	319	1117263	30000000	0.0013	235
111	6	m4.2xlarge	55	297894	279	2444670	21964478	0.01	221
112	11	r4.2xlarge	88	305017	317	3000000	11171379	0.0001	143
113	2	r4.2xlarge	44	83324	300	2510814	21973748	0.0014	272
114	2	r4.2xlarge	20	273681	312	3000000	30000000	0.0013	129
115	8	r4.2xlarge	43	732000	318	1117263	30000000	0.01	167
116	7	r4.2xlarge	81	732000	314	2329505	30000000	0.0028	160
117	10	r4.2xlarge	80	543138	244	3000000	17174487	0.0055	127
118	10	r4.xlarge	32	61725	277	2109590	22988248	0.0012	168
119	5	r4.2xlarge	22	326637	436	1117263	24484997	0.01	335
120	10	r4.2xlarge	96	732000	382	1117263	11171379	0.01	185
121	9	r4.xlarge	31	144795	303	3000000	22280014	0.0011	284
122	11	r4.xlarge	69	117591	345	2069920	20679126	0.0017	176
123	12	m4.2xlarge	42	514956	340	3000000	21498130	0.0003	180
124	5	m4.2xlarge	89	254224	338	2398460	24782194	0.0019	151
125	9	m4.2xlarge	85	173835	282	1980300	19608905	0.0027	220
126	11	r4.2xlarge	81	143175	142	1925886	30000000	0.0064	216
127	10	m4.2xlarge	77	540202	340	1117263	19415462	0.0009	118
128	2	r4.2xlarge	13	61725	282	1117263	23622781	0.01	577
129	8	r4.2xlarge	70	61725	313	1931649	21211145	0.0021	140
130	12	r4.2xlarge	41	61814	142	1117263	11171379	0.0007	178
131	2	m4.2xlarge	80	153395	327	2120594	21158509	0.0011	202
132	6	r4.xlarge	77	61725	349	2413194	21608892	0.002	756
133	9	r4.xlarge	89	128143	350	1993750	21030175	0.0022	185
134	12	m4.2xlarge	43	61725	296	2123491	22677777	0.0009	459
135	9	r4.xlarge	72	84198	294	1117263	11171379	0.0022	349
136	12	r4.2xlarge	77	127897	415	1117263	11171379	0.01	275
137	2	r4.2xlarge	70	585336	428	1881521	21117820	0.01	261
138	8	r4.2xlarge	78	107571	324	1117263	24526621	0.01	151
139	12	m4.2xlarge	53	241980	264	3000000	19922380	0.0012	201
140	11	m4.2xlarge	85	279173	336	2505056	25083077	0.0019	203
141	10	r4.2xlarge	72	189197	142	1117263	30000000	0.0081	217
142	11	r4.2xlarge	75	109724	142	2481353	23282627	0.01	254
143	11	r4.2xlarge	79	732000	266	1117263	22922176	0.0057	135
144	8	r4.xlarge	69	330617	330	1865186	20933332	0.0022	166
145	12	m4.2xlarge	83	166095	278	2553563	19078153	0.001	137
146	10	r4.2xlarge	86	369359	332	3000000	18049610	0.0004	181
147	6	r4.2xlarge	89	205230	142	1117263	22320592	0.01	218
148	3	m4.2xlarge	51	94595	253	2380430	19861868	0.0002	154
149	2	r4.2xlarge	79	514663	431	1117263	30000000	0.0001	261
150	2	m4.2xlarge	84	192600	309	2322431	24767929	0.0017	147
151	12	r4.2xlarge	88	567122	158	3000000	11171379	0.0007	257
152	8	r4.2xlarge	75	321181	164	3000000	25966042	0.002	549
153	12	r4.xlarge	72	61725	346	1953807	20099409	0.0026	291
154	12	r4.xlarge	88	288153	319	1836521	19523004	0.002	118
155	4	r4.2xlarge	85	732000	276	1117263	30000000	0.01	192
156	11	r4.2xlarge	93	308143	436	2178192	22712702	0.0032	274
157	11	r4.2xlarge	59	732000	283	1117263	30000000	0.002	153
158	4	r4.2xlarge	96	126769	436	2340092	11171379	0.0026	402
159	2	r4.2xlarge	96	206363	430	1117263	23463097	0.0005	245
160	11	r4.2xlarge	78	732000	286	3000000	30000000	0.0003	209
161	11	r4.2xlarge	53	732000	407	3000000	22234611	0.01	220
162	11	r4.xlarge	51	236200	314	2445033	16510752	0.0008	207
163	7	m4.2xlarge	56	208633	342	2384457	19768953	0.001	127
164	11	r4.xlarge	29	143293	328	2209323	17372177	0.0016	179
165	8	r4.xlarge	84	309364	436	2046540	22988582	0.0009	445
166	9	m4.2xlarge	88	183674	294	2206553	18601846	0.0005	257
167	7	r4.2xlarge	83	110026	322	3000000	11171379	0.0052	166
168	7	r4.2xlarge	88	204725	436	3000000	24463824	0.01	244
169	11	r4.2xlarge	14	535648	436	3000000	30000000	0.0003	175
170	12	m4.2xlarge	80	230565	311	2408726	23137658	0.0009	248
171	2	m4.2xlarge	24	176066	145	2354312	16382151	0.0002	264
172	9	r4.2xlarge	69	359407	273	1117263	11171379	0.01	218
173	2	m4.2xlarge	21	61725	304	2284808	17636931	0.0018	221
174	2	m4.2xlarge	81	258606	323	2199557	19023491	0.0009	367
175	9	r4.2xlarge	54	418147	305	1117263	21070339	0.0003	181
176	12	m4.2xlarge	11	146413	336	2477803	22269878	0.0004	567
177	2	m4.2xlarge	47	159936	324	1972500	21665422	0.0014	194
178	2	m4.2xlarge	60	107409	284	2430288	24059070	0.0005	121
179	10	m4.2xlarge	17	64782	158	2511136	17099414	0.0012	166
180	7	m4.2xlarge	88	272467	343	2358272	22147325	0.0008	188
181	6	r4.2xlarge	59	178494	153	1117263	30000000	0.01	247
182	9	m4.2xlarge	57	146572	309	2182846	16555788	0.0013	133
183	8	r4.2xlarge	89	363026	302	1117263	24228749	0.01	229
184	2	m4.2xlarge	76	251658	277	2016110	24103202	0.002	230
185	11	r4.2xlarge	76	204048	436	1117263	24102554	0.0001	273
186	10	r4.2xlarge	72	126543	143	2037308	17448086	0.0001	240
187	11	r4.2xlarge	96	704006	142	3000000	30000000	0.01	159
188	7	r4.2xlarge	74	248227	142	2296931	30000000	0.0019	392
189	2	r4.xlarge	73	230601	346	2271087	19130186	0.0009	131
190	11	m4.2xlarge	39	305916	342	2106305	21305010	0.003	161
191	12	r4.2xlarge	58	198164	145	1117263	30000000	0.0023	219
192	7	m4.2xlarge	33	163812	345	3000000	20891619	0.001	415
193	8	m4.2xlarge	70	117666	265	2220804	20863976	0.0002	124
194	11	r4.2xlarge	54	732000	148	2362179	11171379	0.001	139
195	8	m4.2xlarge	57	188004	312	1694217	22280366	0.0015	226
196	2	m4.2xlarge	21	167410	301	2250714	20549084	0.001	248
197	10	r4.xlarge	36	144885	300	1979206	30000000	0.0017	194
198	2	r4.xlarge	49	176892	318	1117263	21528464	0.0006	247
199	5	r4.2xlarge	39	731997	428	1117263	20261310	0.0007	118
