	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
129	9	r4.xlarge	86	230340	261	1949834	30000000	0.0029	531
130	2	r4.2xlarge	51	732000	131	2014300	11145583	0.01	271
131	6	r4.2xlarge	18	241397	131	3000000	10966084	0.0039	302
132	2	r4.2xlarge	19	626872	131	1003891	20179492	0.0092	128
133	4	r4.2xlarge	49	261799	136	1000000	30000000	0.0036	291
134	12	m4.2xlarge	24	81554	148	1963603	20537975	0.0031	457
135	2	r4.2xlarge	37	490078	356	1000000	11262503	0.0043	121
136	11	m4.2xlarge	20	145630	131	2950555	20988531	0.0021	227
137	2	r4.2xlarge	54	617522	138	1000000	11026677	0.0001	324
138	6	r4.2xlarge	23	469095	432	1008491	30000000	0.0039	122
139	11	m4.2xlarge	96	406654	131	2017901	19945084	0.0031	410
140	8	r4.2xlarge	85	619181	263	1000000	11478696	0.01	292
141	5	m4.2xlarge	65	193908	288	1952762	20967844	0.01	222
142	4	r4.2xlarge	49	401024	131	1000000	30000000	0.0057	191
143	6	r4.xlarge	41	520989	262	1896564	20721261	0.0039	557
144	4	r4.2xlarge	51	732000	376	1030734	20207246	0.0052	280
145	10	r4.2xlarge	96	402797	131	1933947	10439897	0.0001	168
146	12	r4.2xlarge	84	660236	267	1009060	30000000	0.0007	262
147	10	r4.xlarge	80	233066	275	2016145	20344662	0.0006	377
148	5	r4.2xlarge	51	378306	436	1000000	10498291	0.0097	503
149	11	m4.2xlarge	31	83005	252	1986603	21060507	0.0021	327
150	12	m4.2xlarge	79	158421	297	1909081	20937737	0.0035	445
151	2	r4.2xlarge	79	409690	131	3000000	20706478	0.01	154
152	2	m4.2xlarge	36	336513	258	1034247	20727752	0.0003	426
153	10	r4.2xlarge	82	404894	256	1000000	10325104	0.0057	280
154	6	r4.2xlarge	94	414441	131	2068713	30000000	0.0063	257
155	2	m4.2xlarge	36	188353	306	1950284	20448900	0.0028	347
156	2	r4.xlarge	36	244510	286	1951556	20461330	0.0033	195
157	2	m4.2xlarge	39	139329	285	1911808	10064523	0.0019	569
158	2	r4.xlarge	36	242823	261	1901876	11942567	0.0018	682
159	10	r4.2xlarge	85	249995	263	1000000	10924195	0.0018	118
160	4	r4.2xlarge	40	393984	379	1000000	11398437	0.0034	583
161	12	r4.2xlarge	28	506169	131	2928228	10926824	0.0001	155
162	8	r4.2xlarge	94	732000	436	1078747	20045131	0.01	190
163	2	m4.2xlarge	38	510996	266	1930814	20546480	0.0081	390
164	12	r4.2xlarge	96	732000	137	1000000	20008616	0.006	460
165	4	r4.2xlarge	74	469805	269	3000000	11214875	0.0061	590
166	2	r4.2xlarge	63	356731	132	1031051	30000000	0.0001	190
167	2	r4.2xlarge	62	732000	131	3000000	20697584	0.0012	118
168	7	m4.2xlarge	85	142477	245	1913429	21041806	0.0008	528
169	9	r4.2xlarge	82	732000	372	1074379	10376881	0.0039	158
170	4	m4.2xlarge	22	366091	278	1993463	20491051	0.0021	508
171	2	r4.2xlarge	68	287301	267	1096496	11552614	0.0048	132
172	10	r4.xlarge	39	123795	279	1941193	20920858	0.0027	484
173	9	r4.2xlarge	13	504683	389	2076355	10728528	0.0012	131
174	12	m4.2xlarge	38	260735	241	1960149	20920324	0.0001	237
175	2	m4.2xlarge	81	233634	274	1964623	20760071	0.01	291
176	8	r4.2xlarge	84	162199	252	2036714	20391239	0.0011	236
177	9	m4.2xlarge	36	379368	261	2004814	20234016	0.0001	241
178	9	m4.2xlarge	50	154628	365	1921818	20456075	0.0015	228
179	5	r4.2xlarge	52	620178	131	3000000	10000000	0.0057	275
180	11	r4.2xlarge	96	650474	131	2916487	10285823	0.001	138
181	6	r4.2xlarge	33	186497	131	1919797	19853483	0.0033	363
182	5	m4.2xlarge	52	357415	253	1894395	19992879	0.0025	544
183	4	m4.2xlarge	16	219996	256	1895385	11788263	0.0094	508
184	6	m4.2xlarge	13	627489	243	1953992	10481315	0.0008	756
185	4	r4.xlarge	33	261561	284	1958977	20907114	0.0044	565
186	3	r4.xlarge	53	656978	248	1923031	30000000	0.0001	388
187	3	r4.2xlarge	19	381007	131	1000000	30000000	0.01	122
188	7	r4.xlarge	87	395828	253	1938976	20816784	0.0043	280
189	6	r4.2xlarge	32	523068	131	2944342	10383535	0.01	152
190	10	m4.2xlarge	23	160663	294	1897251	19739121	0.002	432
191	2	r4.xlarge	81	124907	269	1923683	11492274	0.0004	343
192	5	r4.2xlarge	36	595000	166	1953106	20156328	0.0067	152
193	6	m4.2xlarge	78	732000	263	2012500	20411500	0.0035	870
194	11	r4.2xlarge	39	192097	405	1000000	20275066	0.0093	243
195	6	m4.2xlarge	84	175884	263	1951986	20626760	0.0023	401
196	4	r4.2xlarge	22	732000	368	3000000	20917934	0.0009	422
197	6	r4.2xlarge	40	180816	354	1000000	30000000	0.0025	227
198	10	r4.2xlarge	22	382588	135	1936390	20980962	0.0064	221
199	2	r4.2xlarge	79	280518	426	1000000	11110057	0.0027	118
