	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
115	6	c4.2xlarge	48	82176	18874	100	180183447	257
116	8	r4.2xlarge	64	123848	9699	101	137156540	134
117	8	m4.2xlarge	64	104499	15407	100	138626205	137
118	8	r4.2xlarge	64	72088	9550	101	131246294	131
119	6	r4.2xlarge	48	153073	17233	100	142317419	114
120	8	r4.2xlarge	64	133978	9603	100	104618999	104
121	12	r4.2xlarge	96	410954	19099	101	119245676	160
122	4	m4.2xlarge	32	155875	9572	100	105529983	151
123	6	m4.2xlarge	48	135576	15355	100	170103959	200
124	6	r4.2xlarge	48	151682	9730	100	105292918	140
125	6	m4.2xlarge	48	77776	15387	101	199978609	262
126	6	r4.2xlarge	48	119375	17337	101	141159598	167
127	6	m4.2xlarge	48	101676	11748	100	166391206	180
128	6	c4.2xlarge	48	137147	15434	101	119374862	228
129	4	m4.2xlarge	32	30000	9554	101	93973051	208
130	8	m4.2xlarge	64	169873	13381	100	159251912	157
131	6	r4.2xlarge	48	103489	9530	1000	10000000	163
132	6	c4.2xlarge	48	44261	15425	100	188518516	146
133	12	r4.2xlarge	80	137732	9551	100	116267487	150
134	6	m4.2xlarge	48	63463	19260	100	193951443	211
135	8	m4.2xlarge	64	81856	13391	100	159746291	169
136	2	c4.2xlarge	16	70771	19198	100	149673947	866
137	8	r4.2xlarge	64	84311	13468	100	135316458	129
138	8	m4.2xlarge	64	133974	9530	1000	10000000	157
139	8	m4.2xlarge	64	340781	13540	100	124425481	116
140	6	r4.2xlarge	48	57705	9714	100	114626237	149
141	10	r4.2xlarge	64	63820	11605	100	104219233	173
142	8	m4.2xlarge	64	144434	13517	101	142994584	103
143	6	r4.2xlarge	48	98420	11533	100	117099934	172
144	8	r4.2xlarge	64	30000	9681	100	98025100	190
145	6	m4.2xlarge	48	121089	19234	101	193241586	226
146	8	r4.2xlarge	64	119271	13409	101	143953614	145
147	4	m4.2xlarge	48	128594	9639	101	104425509	174
148	10	r4.2xlarge	80	83138	9530	1000	25393743	122
149	6	c4.2xlarge	48	153635	13481	101	136216020	154
150	4	c4.2xlarge	32	100917	17491	101	198411892	321
151	8	r4.2xlarge	64	151806	17096	100	177375754	203
152	8	r4.2xlarge	64	112696	9530	101	112532134	119
153	8	r4.2xlarge	64	141010	13473	101	138503479	133
154	8	m4.2xlarge	64	76136	13489	101	126975737	158
155	12	r4.2xlarge	96	732000	9593	101	96164225	130
156	6	m4.2xlarge	48	116784	18860	100	200000000	286
157	8	r4.2xlarge	48	112730	9549	101	111853573	143
158	4	c4.2xlarge	32	122797	9582	101	137290062	161
159	8	r4.2xlarge	64	107807	15473	100	177339284	136
160	6	r4.2xlarge	48	30000	11760	100	121612875	175
161	8	r4.2xlarge	64	165013	15319	101	164886052	196
162	10	r4.2xlarge	80	111896	11687	101	120198551	142
163	8	m4.2xlarge	64	156127	19190	100	200000000	334
164	6	r4.2xlarge	48	134293	9551	100	105849984	151
165	6	r4.2xlarge	48	83718	9597	101	107715422	97
166	6	m4.2xlarge	48	103012	19092	100	180989031	271
167	6	c4.2xlarge	48	103939	13394	101	141896507	157
168	2	r4.2xlarge	16	119966	9688	101	118561540	406
169	6	m4.2xlarge	48	57781	9530	999	20562983	123
170	12	m4.2xlarge	96	114337	17317	100	181020381	192
171	8	r4.2xlarge	64	444797	9729	100	95194041	187
172	6	r4.2xlarge	48	53540	9622	100	108803486	125
173	8	r4.2xlarge	64	149075	9571	993	10000000	111
174	4	m4.2xlarge	32	112276	19005	100	197758501	150
175	4	c4.2xlarge	32	40983	17499	100	185448973	447
176	4	r4.2xlarge	32	133402	9564	100	107242602	146
177	10	r4.2xlarge	79	679186	9564	100	110572863	194
178	6	c4.2xlarge	48	166302	19095	100	197082752	198
179	10	r4.2xlarge	80	644562	9550	100	99197221	84
180	6	r4.2xlarge	48	110235	13508	100	157038571	226
181	8	m4.2xlarge	64	88614	17488	101	195076890	218
182	6	m4.2xlarge	48	72294	9530	998	10016574	139
183	6	r4.2xlarge	48	46432	15263	101	131494640	124
184	6	m4.2xlarge	48	141315	17250	100	199118260	222
185	4	r4.2xlarge	32	145192	11576	101	108388036	87
186	6	r4.2xlarge	48	159913	13576	100	144922188	106
187	6	r4.2xlarge	48	41706	11777	101	128279796	126
188	4	r4.2xlarge	48	172653	11630	100	116498563	249
189	8	r4.2xlarge	64	133773	13475	100	139540823	113
190	10	r4.2xlarge	80	153895	9595	101	113819923	179
191	12	r4.2xlarge	96	584148	15402	100	169020332	191
192	6	m4.2xlarge	48	67473	13420	100	121370697	207
193	4	r4.2xlarge	32	143043	9579	100	100040328	171
194	6	m4.2xlarge	48	95949	17337	101	178777145	136
195	8	r4.2xlarge	64	62624	13440	100	125273513	140
196	4	r4.2xlarge	32	84696	9593	101	117631961	111
197	4	r4.2xlarge	48	134118	18989	101	194458321	325
198	8	r4.2xlarge	64	43117	9626	100	110995426	228
199	8	m4.2xlarge	64	197490	13508	100	108868786	163
